ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
37773,351,204,55,0,47,28,76,43,60
60357,188,61,14,3,21,13,23,18,159
6702,253,86,4,1,12,3,24,1,232
32732,234,136,31,1,50,14,77,14,83
22651,240,96,17,1,28,12,33,12,96
52974,260,169,59,2,45,21,61,24,156
71944,295,187,32,0,59,23,91,24,68
31755,371,200,21,4,36,17,89,20,241
49963,278,174,17,0,45,23,84,14,120
62994,307,107,6,7,20,5,42,5,292
73497,201,73,7,2,13,7,24,3,278
71483,256,122,12,1,28,13,34,7,134
47441,343,114,20,6,18,8,39,25,240
19466,177,105,10,1,33,16,44,6,65
69455,217,118,18,2,36,15,47,14,101
10772,227,66,3,1,9,7,17,0,183
4350,161,97,9,1,30,4,51,7,118
33693,253,47,2,2,4,1,17,1,323
71571,201,64,3,1,6,1,28,1,228
31596,160,73,19,0,25,10,46,5,100
68318,235,181,21,4,49,21,77,10,62
26577,146,90,44,0,46,21,69,23,46
45497,199,108,12,4,20,8,39,3,215
8720,270,99,8,0,14,10,35,5,133
55479,199,133,13,0,44,8,58,8,106
47167,141,55,2,1,7,1,21,1,271
53940,210,73,19,2,16,11,29,3,184
7373,246,41,2,2,8,3,16,0,222
62222,269,66,4,3,5,5,28,1,334
12177,288,77,2,0,9,2,22,2,260
54953,248,117,10,2,27,8,53,10,98
8787,245,72,19,0,26,10,42,18,131
66293,280,71,4,5,17,5,38,13,225
10090,178,103,15,0,23,14,57,10,80
19332,252,101,3,0,17,3,41,5,172
31011,153,31,4,1,8,1,16,2,289
11007,155,74,6,0,21,10,35,2,158
66090,77,126,47,0,51,28,56,15,26
66323,148,53,0,2,11,1,23,1,169
25170,227,67,2,0,10,3,23,1,300
72566,148,81,7,3,24,8,35,3,135
48177,193,70,3,0,18,3,22,2,96
19264,177,43,6,2,14,3,22,2,330
9322,169,45,4,0,7,4,13,14,147
52192,246,78,15,2,23,9,32,11,238
6090,219,112,12,1,16,9,51,3,204
49446,176,78,8,1,19,7,36,6,173
13189,144,63,8,0,22,2,26,2,131
5757,162,55,9,0,12,5,19,2,195
12840,244,51,5,2,8,2,23,1,282
5801,165,66,7,0,20,10,32,6,195
48524,164,39,6,2,7,3,11,0,178
11766,196,80,7,5,21,3,41,9,164
76291,195,40,2,7,2,4,11,5,375
35100,173,33,3,0,5,8,19,3,239
52596,159,36,0,2,4,16,13,3,177
45812,170,26,2,1,6,1,12,3,294
23512,180,63,8,2,13,5,30,5,133
29462,205,45,7,0,10,7,32,1,231
68914,145,66,19,1,25,9,25,3,79
68701,157,65,22,8,16,6,22,1,215
33902,189,60,13,3,18,12,36,4,153
10218,162,34,3,1,1,1,9,6,227
67303,159,31,5,4,5,2,5,8,243
38414,181,35,1,2,4,1,9,5,217
50400,171,30,6,1,5,2,14,1,333
43332,216,96,16,0,28,12,38,2,154
18709,153,50,9,0,31,6,29,14,147
70459,150,53,7,6,20,4,21,2,314
45779,100,38,10,2,5,3,23,1,173
62990,188,72,14,0,33,13,54,5,190
12355,106,9,3,9,3,3,11,3,440
26208,160,73,7,0,17,1,23,2,116
5249,29,21,22,0,18,10,13,12,6
19487,143,28,0,2,4,1,11,2,255
15416,117,40,6,2,14,0,13,2,190
17978,121,34,4,8,3,3,6,2,284
33194,126,39,2,1,5,0,6,3,198
11046,149,43,7,1,4,1,15,2,322
53162,233,51,6,5,18,5,28,10,369
