ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
47857,1,0.47267,0.0836,0,0.11254,0.04502,0.17363,0.06431,0.16399
58125,1,0.32121,0.08485,0.01818,0.13939,0.06667,0.10303,0.09697,0.84848
64523,1,0.30667,0.01333,0.00444,0.04889,0.01778,0.09333,0.00444,0.93778
13834,1,0.59483,0.30172,0.00862,0.17241,0.06897,0.25862,0.08621,0.65517
6650,1,0.47573,0.08738,0,0.16505,0.04854,0.2767,0.08738,0.43689
14876,1,0.38863,0.07109,0.00948,0.1327,0.05687,0.14692,0.03318,0.47393
42475,1,0.59116,0.11602,0,0.19337,0.0663,0.29282,0.09392,0.22652
51010,1,0.81443,0.25773,0.01031,0.37113,0.09278,0.39175,0.06186,0.38144
46862,1,0.58373,0.05263,0.00478,0.10526,0.05263,0.25837,0.08612,0.57416
5294,1,0.55034,0.05369,0,0.13423,0.10738,0.24161,0.04027,0.56376
60265,1,0.33333,0.00505,0.00505,0.0404,0.02525,0.08081,0,0.83333
73328,1,0.2783,0.02358,0.03302,0.0566,0.01887,0.15566,0.01887,0.43396
48744,1,0.50259,0.05699,0.00518,0.08808,0.05181,0.10363,0.02591,0.41969
71620,1,0.5,0.04688,0.01562,0.09896,0.03125,0.1875,0.01562,0.95312
17936,1,0.47126,0.08621,0.00575,0.14368,0.06322,0.28736,0.02874,0.67816
1995,1,0.51485,0.0396,0.0099,0.11881,0.0495,0.22772,0.0396,0.9901
4596,1,0.56614,0.06878,0,0.14815,0.0582,0.28042,0.06349,0.42328
73303,1,0.94068,0.24576,0,0.18644,0.11017,0.27966,0.07627,0.52542
902,1,0.32512,0.08867,0.0197,0.04433,0.0197,0.0936,0.04926,0.69951
44355,0.56701,0.1701,0.01031,0.00515,0.02062,0.01546,0.04124,0.01031,1
74561,1,0.74545,0.1,0.02727,0.23636,0.1,0.29091,0.07273,0.39091
21060,0.89444,0.29444,0.01111,0,0.03333,0.00556,0.11111,0.00556,1
15795,1,0.56296,0.05926,0.00741,0.19259,0.02963,0.3037,0.02963,0.68148
66555,0.55249,0.20442,0.01657,0.00552,0.0221,0.01105,0.05525,0.00552,1
31735,1,0.88742,0.12583,0,0.2649,0.11258,0.33113,0.08609,0.17881
71091,1,0.34426,0.04918,0,0.07377,0.04098,0.12295,0.09836,0.42623
67972,1,0.51515,0.16162,0,0.26263,0.11111,0.48485,0.14141,0.21212
22497,0.75,0.22115,0.00481,0.00962,0.01442,0.00481,0.05288,0.00481,1
58518,1,0.70476,0.05714,0.0381,0.2,0.06667,0.4,0.0381,0.25714
36967,1,0.2518,0.03597,0,0.08633,0.05036,0.11511,0.02878,0.57554
1075,1,0.57246,0.05797,0,0.2029,0.03623,0.17391,0.02899,0.26087
10812,0.99286,0.4,0.02857,0,0.1,0.02143,0.13571,0.01429,1
7170,1,0.2891,0.09479,0.00474,0.08531,0.05687,0.17536,0.08057,0.54028
18299,0.8366,0.14379,0.01307,0.00654,0.03922,0.00654,0.11111,0,1
72895,0.98473,0.20611,0,0,0.03053,0.00763,0.0687,0.00763,1
72739,0.64968,0.22293,0.01274,0.01274,0.01911,0.01274,0.07006,0,1
24583,1,0.21084,0.01807,0.01205,0.04217,0.01807,0.06024,0,0.87349
75115,1,0.36747,0.04217,0.01205,0.07229,0.01807,0.1506,0.07831,0.72892
1550,1,0.35625,0.0625,0.00625,0.0625,0.04375,0.11875,0.025,0.975
75194,1,0.53691,0.04027,0.01342,0.07383,0.10738,0.24832,0.08054,0.93289
49685,0.58411,0.19626,0.00935,0.00467,0.02804,0,0.07944,0.00467,1
19423,1,0.49474,0.06842,0,0.16316,0.04737,0.24737,0.02632,0.73158
48344,0.87129,1,0.37624,0,0.48515,0.25743,0.53465,0.18812,0.35644
70849,1,0.5,0.06122,0.0102,0.10204,0.03061,0.26531,0.02041,0.86735
18487,1,0.3815,0.02312,0,0.03468,0.05202,0.15607,0.02312,0.49711
74383,0.91045,1,0.97015,0.01493,0.52239,0.34328,0.65672,0.64179,0.14925
69167,1,0.49231,0.03846,0,0.16154,0.04615,0.23077,0.06923,0.45385
64595,1,0.32576,0.00758,0,0.05303,0.01515,0.12121,0.01515,0.81061
19212,1,0.40972,0.06944,0.00694,0.10417,0.04167,0.20139,0.02083,0.81944
2559,1,0.58741,0.07692,0,0.15385,0.09091,0.33566,0.03497,0.45455
33160,0.53556,0.08787,0.00837,0,0.0251,0,0.05858,0.00837,1
12060,0.75573,0.10687,0,0,0,0.00763,0.05344,0,1
59640,0.66667,0.90196,1,0,0.60784,0.56863,0.76471,0.68627,0.09804
58092,0.84431,0.27545,0,0.01198,0.07784,0.00599,0.13772,0.00599,1
44492,1,0.27723,0,0.02475,0.0495,0.0198,0.12871,0.0396,0.76733
25416,0.85366,1,0.26829,0,0.36585,0.18293,0.45122,0.04878,0.17073
61171,1,0.51799,0.00719,0,0.05036,0.02158,0.1295,0.02158,0.32374
50037,0.73118,0.12366,0.00538,0.00538,0.01075,0,0.04301,0.00538,1
19688,1,0.37297,0.04865,0.01081,0.07027,0.01081,0.15676,0.01622,0.40541
5889,1,0.39181,0.02339,0,0.08187,0.02339,0.21637,0.02924,0.59064
58791,1,0.52756,0.05512,0,0.16535,0.01575,0.25197,0.03937,0.88189
52815,1,0.46154,0.04396,0.01648,0.13736,0.03846,0.21429,0.01648,0.63736
2868,1,0.75758,0.16162,0,0.31313,0.09091,0.51515,0.08081,0.46465
52681,1,0.36646,0.0559,0.01242,0.06211,0.02484,0.17391,0.01242,0.72671
46179,1,0.48958,0.13542,0,0.28125,0.13542,0.3125,0.23958,0.48958
52553,1,0.33636,0.06364,0,0.13636,0.05455,0.22727,0.11818,0.61818
67216,0.93706,0.20979,0.00699,0.00699,0.02797,0.00699,0.11888,0,1
45126,1,0.472,0.016,0,0.064,0.008,0.184,0.008,0.944
3513,0.75789,0.28947,0.04211,0.02105,0.06316,0.02105,0.11053,0,1
39968,0.9,0.19231,0,0,0.01538,0.01538,0.03846,0,1
36295,0.78378,0.16216,0.04054,0.00676,0.01351,0.01351,0.06081,0.00676,1
68186,1,0.71053,0.07895,0,0.09649,0.0614,0.30702,0.02632,0.76316
4760,0.67296,0.1195,0.01258,0.01258,0.03774,0.00629,0.03145,0.00629,1
11636,1,0.32639,0.02083,0,0.00694,0.01389,0.09722,0.02778,0.75
55024,1,0.36782,0.01149,0,0.0977,0.02299,0.11494,0.00575,0.49425
55290,1,0.45556,0.36667,0.06667,0.21111,0.08889,0.44444,0.15556,0.62222
76089,1,0.21023,0.02841,0,0.06818,0.02841,0.07386,0.07386,0.93182
53125,1,0.40441,0.07353,0,0.15441,0.01471,0.16912,0.02941,0.84559
31662,0.86316,0.29474,0.04737,0,0.07368,0.02632,0.12105,0.00526,1
9980,0.85,0.15,0.0125,0.00625,0.0125,0,0.075,0.00625,1
3588,1,0.43972,0.12057,0.00709,0.12766,0.05674,0.19149,0.01418,0.51064
6339,1,0.30928,0.07216,0,0.14433,0.15464,0.20619,0.03093,0.98969
36096,0.80851,1,0.51064,0,0.53191,0.3617,0.59574,0.14894,0.23404
2780,0.95161,0.23118,0.02688,0.01075,0.05914,0.03226,0.05376,0,1
14421,1,0.29412,0.03922,0,0.13725,0.01961,0.13725,0,0.79085
27864,0.87671,0.23973,0.03425,0,0.05479,0.0274,0.09589,0.00685,1
39697,0.73939,0.11515,0.01818,0.00606,0.03636,0.01212,0.0303,0.01212,1
22404,0.64103,0.29231,0.01026,0.01538,0.06667,0.03077,0.10256,0.02564,1
39078,1,0.42157,0,0,0.14706,0.01961,0.12745,0.04902,0.95098
51978,0.6015,0.18045,0.00752,0,0.01504,0,0.06015,0.01504,1
10801,0.62319,0.07729,0,0.00966,0.02899,0.00483,0.01932,0,1
15461,0.76471,0.18431,0.01961,0.01176,0.03137,0.00784,0.06667,0.00784,1
36410,0.51402,0.14486,0.00467,0.00935,0.0514,0.00935,0.07944,0.00467,1
41603,0.66474,0.12139,0.01156,0,0.01156,0.03468,0.07514,0.00578,1
61277,1,0.32308,0.02308,0,0.05385,0.00769,0.08462,0.02308,0.90769
17179,1,0.27737,0.07299,0.0146,0.10219,0.05109,0.08759,0.05109,0.80292
23831,0.61481,0.27407,0.05185,0.03704,0.08889,0.00741,0.13333,0.03704,1
27113,0.90805,0.22989,0,0.01149,0.02299,0.08621,0.06897,0.01724,1
20423,1,0.27333,0.01333,0.00667,0.06667,0.00667,0.09333,0,0.9
5093,0.62844,0.19725,0.00917,0.01835,0.01835,0.00917,0.03211,0.00917,1
51802,0.84298,0.29752,0,0,0.07438,0.03306,0.13223,0,1
65675,0.93171,0.20976,0.02927,0,0.06829,0.0439,0.10732,0.00488,1
15780,1,0.35025,0.07107,0,0.08629,0.03553,0.18782,0.03046,0.53807
60299,0.928,0.384,0.144,0.056,0.096,0.056,0.128,0,1
29223,0.90132,0.30263,0,0,0.03289,0,0.07237,0.01316,1
51780,1,0.38854,0.04459,0,0.05096,0.02548,0.11465,0.01911,0.55414
62825,0.46193,0.08122,0.00508,0.0203,0.02538,0.00508,0.04569,0.0203,1
7707,1,0.40678,0.04237,0,0.13559,0.05085,0.10169,0.02542,0.61864
27890,0.60795,0.10795,0.01136,0.00568,0.00568,0.00568,0.0625,0.01136,1
73645,1,0.61856,0.13402,0.02062,0.14433,0.05155,0.25773,0.04124,0.30928
28079,0.77703,0.20946,0.02027,0.01351,0.04054,0.00676,0.06081,0,1
56638,1,0.56436,0.08911,0,0.11881,0.0198,0.23762,0.09901,0.30693
4052,1,0.28889,0.02222,0,0.06667,0.02963,0.17037,0.04444,0.80741
5527,1,0.32,0.04,0,0.16,0.04,0.20667,0.08,0.74667
21163,1,0.28966,0.05517,0.0069,0.08966,0.06207,0.13793,0.01379,0.74483
57237,0.72656,0.21094,0.01562,0,0.04688,0.00781,0.0625,0.01562,1
49220,1,0.44,0.12,0,0.128,0.072,0.192,0.016,0.56
23350,0.56284,0.08197,0.01093,0.02186,0.02186,0.00546,0.01639,0.03825,1
38528,0.98058,0.48544,0.02913,0.01942,0.02913,0.03883,0.19417,0.01942,1
40832,0.80556,0.27778,0.02778,0,0.00926,0,0.19444,0.00926,1
15540,0.58376,0.08629,0.01523,0.00508,0.0203,0,0.07107,0.01015,1
37335,0.46429,0.13571,0.01786,0.025,0.025,0.01429,0.05714,0.00714,1
49531,0.66929,0.25984,0.05512,0.00787,0.07874,0,0.07087,0.00787,1
