ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
33327,88,53,3,0,3,0,14,0,8
32964,138,39,6,0,3,1,14,3,8
41971,83,22,7,1,11,4,7,5,69
66814,98,37,2,0,7,2,8,0,66
52974,53,28,30,0,8,5,17,6,22
46793,101,62,4,0,11,4,22,2,64
30307,59,28,4,0,13,5,6,0,31
4353,81,38,5,0,17,7,24,3,47
53302,98,30,0,0,5,3,4,0,66
76024,52,33,4,1,3,2,10,0,29
59467,77,64,16,0,32,8,31,4,33
11506,109,40,11,0,11,6,28,1,37
65092,74,38,8,0,12,4,18,10,10
51755,61,23,0,4,5,3,6,2,38
17911,77,38,5,0,11,5,12,1,58
1996,63,33,3,1,8,3,10,1,73
6365,82,43,8,1,9,6,6,5,24
75813,72,12,0,0,2,1,5,0,59
19454,54,21,2,1,2,1,10,0,57
24102,60,32,5,0,5,1,14,1,20
72684,64,22,4,1,5,3,11,5,35
69454,83,30,3,0,7,3,9,2,37
35052,43,41,11,0,11,7,7,7,21
26939,46,18,3,0,6,4,6,3,48
3932,52,58,7,0,18,8,31,8,11
4045,58,23,2,0,4,2,18,1,8
74685,60,22,0,0,2,2,2,0,36
74676,53,14,10,0,3,1,5,8,42
57563,45,40,8,0,3,3,16,2,30
13245,65,35,10,0,13,6,16,3,19
42080,57,32,1,0,9,1,24,1,28
17664,51,39,2,0,7,8,12,0,26
40165,52,15,2,0,3,1,2,1,80
31890,63,48,7,1,15,8,14,3,21
8144,13,26,28,0,17,16,25,19,5
32237,45,25,1,1,7,1,11,3,43
12886,40,16,5,0,2,1,12,0,59
66489,43,24,0,0,5,1,12,14,38
74316,74,23,6,0,2,4,8,4,21
11899,44,19,0,0,4,1,9,1,53
55354,43,14,0,2,2,0,3,1,58
18273,80,10,0,0,1,1,1,0,54
229,58,39,0,0,11,1,12,1,4
22780,46,19,2,0,2,0,14,0,65
47702,53,12,3,2,5,0,4,7,52
35325,76,24,2,0,1,0,9,0,72
62146,48,9,0,1,1,2,9,0,59
8493,56,18,2,0,1,2,6,0,96
6534,36,39,1,0,9,4,21,1,2
10188,56,27,2,0,6,2,4,6,32
13069,58,31,6,0,8,5,11,0,9
17818,43,25,2,1,9,1,11,2,53
10653,54,24,5,3,5,1,5,0,28
48438,54,20,2,0,11,0,21,4,27
37420,52,25,2,4,7,3,14,3,16
38782,50,11,0,0,2,1,5,0,77
5987,34,11,1,0,0,0,4,0,74
44447,49,35,3,0,6,5,13,4,21
18666,48,30,5,0,8,7,13,3,21
68075,138,41,8,0,10,5,13,9,66
6888,50,5,1,0,1,2,4,1,19
14273,52,22,3,1,5,3,8,0,19
26954,36,36,10,0,26,11,19,4,8
24046,47,3,0,0,2,0,9,0,57
39020,51,12,1,1,2,1,4,0,68
75068,68,29,1,0,8,4,18,3,34
44547,30,46,9,0,12,9,20,2,2
72961,65,22,1,0,5,3,13,1,23
47044,88,18,1,1,3,0,11,0,25
15655,45,11,1,0,4,1,8,0,63
75779,34,22,3,0,8,2,20,0,19
29559,72,32,6,1,2,6,11,0,80
72742,38,38,30,1,22,11,28,17,3
29135,46,22,2,0,3,3,13,1,27
16838,58,13,0,0,1,0,3,1,48
40721,25,16,24,0,19,12,17,5,6
59396,52,30,5,0,12,3,8,0,24
64308,56,33,6,0,9,12,6,1,19
13781,41,25,5,0,6,3,17,2,13
72177,34,15,4,0,5,1,5,14,12
76013,31,16,5,0,3,1,12,5,6
52670,66,24,1,0,3,2,9,0,31
1475,49,19,2,0,7,1,16,6,36
38534,57,22,0,0,5,1,4,0,66
65604,41,36,1,0,4,1,16,8,29
73137,47,6,1,1,3,0,0,2,47
56883,55,21,6,1,8,3,11,2,52
34797,46,17,1,0,1,0,11,0,91
31190,37,12,0,0,3,0,2,0,71
65599,52,8,2,0,1,0,4,2,81
38364,75,33,4,0,8,4,32,2,36
14128,38,27,4,1,4,8,5,2,15
75765,68,34,0,0,4,1,13,2,19
16678,58,30,6,0,11,1,7,0,27
28687,61,18,0,0,2,1,6,1,41
38181,54,6,0,0,0,0,2,0,66
68050,46,16,0,0,2,0,5,1,74
55227,40,30,10,1,9,5,15,6,20
8166,39,36,3,0,9,3,19,2,13
56041,36,11,0,2,3,1,8,4,73
7801,72,43,4,2,12,4,17,3,77
26887,56,28,2,0,5,0,10,2,53
29340,44,10,1,0,0,1,4,0,36
35754,54,28,3,0,4,0,6,0,77
23690,39,18,2,1,1,2,2,0,66
68958,57,22,2,0,5,2,12,0,25
45861,47,18,0,0,3,4,8,3,35
4564,87,36,1,2,8,1,15,1,60
42794,76,28,0,0,9,2,16,3,41
74805,71,16,0,5,6,2,14,7,53
46189,40,12,1,1,3,0,4,0,56
15598,45,22,1,0,3,0,5,0,23
38036,44,29,4,0,7,3,14,1,55
7234,60,6,1,0,1,0,5,0,76
67138,54,33,10,0,19,9,24,14,36
29065,60,24,3,1,6,1,12,1,18
20174,55,30,1,0,4,5,5,1,34
