ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
47857,311,147,26,0,35,14,54,20,51
58125,165,53,14,3,23,11,17,16,140
64523,225,69,3,1,11,4,21,1,211
13834,116,69,35,1,20,8,30,10,76
6650,206,98,18,0,34,10,57,18,90
14876,211,82,15,2,28,12,31,7,100
42475,181,107,21,0,35,12,53,17,41
51010,97,79,25,1,36,9,38,6,37
46862,209,122,11,1,22,11,54,18,120
5294,149,82,8,0,20,16,36,6,84
60265,198,66,1,1,8,5,16,0,165
73328,212,59,5,7,12,4,33,4,92
48744,193,97,11,1,17,10,20,5,81
71620,192,96,9,3,19,6,36,3,183
17936,174,82,15,1,25,11,50,5,118
1995,101,52,4,1,12,5,23,4,100
4596,189,107,13,0,28,11,53,12,80
73303,118,111,29,0,22,13,33,9,62
902,203,66,18,4,9,4,19,10,142
44355,110,33,2,1,4,3,8,2,194
74561,110,82,11,3,26,11,32,8,43
21060,161,53,2,0,6,1,20,1,180
15795,135,76,8,1,26,4,41,4,92
66555,100,37,3,1,4,2,10,1,181
31735,151,134,19,0,40,17,50,13,27
71091,122,42,6,0,9,5,15,12,52
67972,99,51,16,0,26,11,48,14,21
22497,156,46,1,2,3,1,11,1,208
58518,105,74,6,4,21,7,42,4,27
36967,139,35,5,0,12,7,16,4,80
1075,138,79,8,0,28,5,24,4,36
10812,139,56,4,0,14,3,19,2,140
7170,211,61,20,1,18,12,37,17,114
18299,128,22,2,1,6,1,17,0,153
72895,129,27,0,0,4,1,9,1,131
72739,102,35,2,2,3,2,11,0,157
24583,166,35,3,2,7,3,10,0,145
75115,166,61,7,2,12,3,25,13,121
1550,160,57,10,1,10,7,19,4,156
75194,149,80,6,2,11,16,37,12,139
49685,125,42,2,1,6,0,17,1,214
19423,190,94,13,0,31,9,47,5,139
48344,88,101,38,0,49,26,54,19,36
70849,98,49,6,1,10,3,26,2,85
18487,173,66,4,0,6,9,27,4,86
74383,61,67,65,1,35,23,44,43,10
69167,130,64,5,0,21,6,30,9,59
64595,132,43,1,0,7,2,16,2,107
19212,144,59,10,1,15,6,29,3,118
2559,143,84,11,0,22,13,48,5,65
33160,128,21,2,0,6,0,14,2,239
12060,99,14,0,0,0,1,7,0,131
59640,34,46,51,0,31,29,39,35,5
58092,141,46,0,2,13,1,23,1,167
44492,202,56,0,5,10,4,26,8,155
25416,70,82,22,0,30,15,37,4,14
61171,139,72,1,0,7,3,18,3,45
50037,136,23,1,1,2,0,8,1,186
19688,185,69,9,2,13,2,29,3,75
5889,171,67,4,0,14,4,37,5,101
58791,127,67,7,0,21,2,32,5,112
52815,182,84,8,3,25,7,39,3,116
2868,99,75,16,0,31,9,51,8,46
52681,161,59,9,2,10,4,28,2,117
46179,96,47,13,0,27,13,30,23,47
52553,110,37,7,0,15,6,25,13,68
67216,134,30,1,1,4,1,17,0,143
45126,125,59,2,0,8,1,23,1,118
3513,144,55,8,4,12,4,21,0,190
39968,117,25,0,0,2,2,5,0,130
36295,116,24,6,1,2,2,9,1,148
68186,114,81,9,0,11,7,35,3,87
4760,107,19,2,2,6,1,5,1,159
11636,144,47,3,0,1,2,14,4,108
55024,174,64,2,0,17,4,20,1,86
55290,90,41,33,6,19,8,40,14,56
76089,176,37,5,0,12,5,13,13,164
53125,136,55,10,0,21,2,23,4,115
31662,164,56,9,0,14,5,23,1,190
9980,136,24,2,1,2,0,12,1,160
3588,141,62,17,1,18,8,27,2,72
6339,97,30,7,0,14,15,20,3,96
36096,38,47,24,0,25,17,28,7,11
2780,177,43,5,2,11,6,10,0,186
14421,153,45,6,0,21,3,21,0,121
27864,128,35,5,0,8,4,14,1,146
39697,122,19,3,1,6,2,5,2,165
22404,125,57,2,3,13,6,20,5,195
39078,102,43,0,0,15,2,13,5,97
51978,80,24,1,0,2,0,8,2,133
10801,129,16,0,2,6,1,4,0,207
15461,195,47,5,3,8,2,17,2,255
36410,110,31,1,2,11,2,17,1,214
41603,115,21,2,0,2,6,13,1,173
61277,130,42,3,0,7,1,11,3,118
17179,137,38,10,2,14,7,12,7,110
23831,83,37,7,5,12,1,18,5,135
27113,158,40,0,2,4,15,12,3,174
20423,150,41,2,1,10,1,14,0,135
5093,137,43,2,4,4,2,7,2,218
51802,102,36,0,0,9,4,16,0,121
65675,191,43,6,0,14,9,22,1,205
15780,197,69,14,0,17,7,37,6,106
60299,116,48,18,7,12,7,16,0,125
29223,137,46,0,0,5,0,11,2,152
51780,157,61,7,0,8,4,18,3,87
62825,91,16,1,4,5,1,9,4,197
7707,118,48,5,0,16,6,12,3,73
27890,107,19,2,1,1,1,11,2,176
73645,97,60,13,2,14,5,25,4,30
28079,115,31,3,2,6,1,9,0,148
56638,101,57,9,0,12,2,24,10,31
4052,135,39,3,0,9,4,23,6,109
5527,150,48,6,0,24,6,31,12,112
21163,145,42,8,1,13,9,20,2,108
57237,93,27,2,0,6,1,8,2,128
49220,125,55,15,0,16,9,24,2,70
23350,103,15,2,4,4,1,3,7,183
38528,101,50,3,2,3,4,20,2,103
40832,87,30,3,0,1,0,21,1,108
15540,115,17,3,1,4,0,14,2,197
37335,130,38,5,7,7,4,16,2,280
49531,85,33,7,1,10,0,9,1,127
41047,110,20,1,0,0,0,6,2,156
22987,127,32,5,0,13,5,11,0,127
66288,78,10,1,2,6,1,3,0,158
27621,101,24,5,0,6,2,12,1,133
46823,90,49,5,0,21,6,41,4,23
19151,109,13,3,0,3,0,8,3,147
2576,114,37,10,0,12,7,23,1,92
39993,139,27,0,3,4,0,8,5,161
1666,109,22,4,0,10,4,14,2,130
49997,145,50,12,0,26,12,37,5,155
43085,100,20,0,1,5,2,5,3,107
21560,64,20,3,1,5,1,12,5,137
25581,76,23,2,0,7,10,25,1,89
18682,112,16,1,0,2,0,6,0,108
6643,70,6,2,6,2,2,8,3,336
23115,112,23,1,4,1,0,10,3,225
36272,83,22,2,3,3,0,2,1,149
64705,116,35,6,1,3,1,14,1,244
9547,101,43,3,2,5,6,15,1,141
6969,140,61,9,0,13,1,29,5,181
9952,95,30,1,1,0,0,5,2,154
34964,152,45,2,1,7,6,22,3,169
59973,85,16,2,0,2,2,4,3,88
48723,129,33,7,1,17,3,16,3,102
30112,129,32,3,4,8,4,9,11,275
7877,90,20,2,1,4,1,6,3,149
6450,123,24,0,1,4,0,9,2,220
31345,129,51,8,1,13,4,22,3,132
72962,109,44,9,0,11,10,26,1,127
24349,108,23,0,2,4,2,9,0,195
9227,125,42,0,0,14,5,25,2,103
38999,69,18,2,0,2,2,7,0,170
37643,68,39,7,0,9,8,20,7,45
60591,84,50,7,0,13,5,21,3,57
45421,133,50,12,4,27,11,32,3,181
24181,109,25,1,3,5,0,8,1,192
47560,98,15,0,1,0,1,3,0,145
62824,80,13,9,3,1,0,9,0,201
22508,127,33,1,3,5,1,13,1,116
