ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
7124,11,3,1,0,1,0,1,0,37
51630,43,5,2,3,1,0,2,0,91
64078,38,9,1,0,2,3,4,0,119
38595,50,9,1,0,3,1,2,0,145
68304,23,3,0,0,0,1,2,0,40
21188,12,2,0,1,1,0,0,0,17
24735,9,4,0,0,0,1,1,0,7
9525,44,19,1,2,5,1,4,1,79
20299,13,1,2,0,1,1,1,0,67
10444,66,21,1,2,8,0,11,1,131
45817,33,20,2,0,3,1,10,0,118
974,56,22,4,1,5,2,8,1,66
66677,34,4,1,5,0,0,5,0,132
22343,41,10,1,0,2,1,3,4,90
49764,51,12,2,1,1,0,6,1,140
29741,86,17,6,1,7,6,9,0,88
49025,98,32,0,1,4,2,9,0,171
53312,17,1,1,0,3,2,0,1,27
16601,12,14,21,0,10,8,10,8,2
64062,53,15,2,3,1,1,10,1,158
43215,40,16,4,2,15,3,10,1,104
60331,59,22,3,0,8,5,15,3,42
33775,37,12,5,0,4,2,8,1,28
54224,43,17,2,0,3,5,9,0,62
6035,64,8,1,2,1,0,2,6,107
65679,61,12,0,0,3,1,8,0,79
52835,41,5,4,1,2,0,7,6,59
16467,106,26,2,1,9,9,10,2,118
33772,72,20,0,2,0,0,1,0,125
49428,28,16,1,0,1,1,6,0,27
66257,81,10,0,1,6,1,2,0,132
73556,7,3,2,0,0,1,4,1,5
57746,88,18,0,6,2,1,7,2,158
73146,54,21,2,0,8,2,6,3,31
73686,17,12,1,0,1,1,4,1,19
60590,112,18,1,3,2,0,6,3,183
47454,81,41,12,0,23,12,24,16,42
7202,98,22,2,0,7,5,11,0,88
21509,33,15,3,2,3,3,7,0,50
53466,44,4,3,0,0,0,4,0,40
943,33,14,2,1,6,3,4,2,70
56773,52,15,1,0,3,1,6,0,6
58101,146,28,2,1,5,0,7,1,203
45103,24,11,2,0,3,1,3,3,23
19545,60,4,2,1,1,0,2,1,82
38200,84,10,1,0,5,2,6,0,104
683,99,12,0,0,0,1,3,0,150
46742,41,12,1,0,3,1,6,1,49
59231,87,41,6,1,13,1,14,2,122
46964,109,23,2,0,2,0,7,2,124
1661,64,29,5,0,7,6,10,0,47
47369,178,24,4,2,3,1,9,3,228
4820,94,33,2,0,1,1,5,4,65
