,ID,azure,aqua,orange,beige,green,antiquewhite,bisque,blue,pink,blanchedalmond,black
98,8103,0.00000,0.00000,0.00000,0.00000,0.22115,1.00000,0.00000,0.29808,0.30769,0.03846,0.00000
99,6195,0.00000,0.00000,0.00000,0.00000,0.21622,1.00000,0.00000,0.18919,0.34234,0.01802,0.00000
100,16509,0.00000,0.12195,0.00000,0.14634,0.36585,1.00000,0.39024,0.21951,0.41463,0.07317,0.00000
101,491,0.07143,0.32143,0.01786,0.05357,0.00000,1.00000,0.00000,0.00000,0.16071,0.00000,0.00000
102,31596,0.03571,0.05357,0.01786,0.03571,0.16071,1.00000,0.00000,0.25000,0.30357,0.00000,0.00000
103,19004,0.00000,0.00000,0.00000,0.00000,0.08844,1.00000,0.00000,0.16327,0.00000,0.00000,0.00000
104,30927,0.00000,0.02500,0.00000,0.05000,0.20000,1.00000,0.00000,0.20000,0.05000,0.00000,0.00000
105,5394,0.00000,0.00000,0.00000,0.00000,0.21739,1.00000,0.00000,0.30435,0.21739,0.00000,0.00000
106,12566,0.00000,0.06452,0.16129,0.16129,0.25806,1.00000,0.19355,0.12903,0.29032,0.00000,0.00000
107,31597,0.02410,0.06024,0.00000,0.02410,0.13253,1.00000,0.00000,0.24096,0.26506,0.00000,0.00000
108,28994,0.00000,0.01724,0.03448,0.03448,0.13793,1.00000,0.00000,0.22414,0.13793,0.00000,0.00000
109,13224,0.00000,0.09375,0.00000,0.12500,0.40625,1.00000,0.21875,0.43750,0.37500,0.00000,0.00000
110,1494,0.00000,0.06522,0.10870,0.00000,0.04348,1.00000,0.00000,0.00000,0.00000,0.00000,0.34783
111,18834,0.00000,0.00000,0.00000,0.00000,0.09302,1.00000,0.00000,0.58140,0.18605,0.00000,0.00000
112,16109,0.00000,0.22951,0.08197,0.14754,0.27869,1.00000,0.26230,0.16393,0.34426,0.03279,0.00000
113,11986,0.00000,0.15044,0.00885,0.09735,0.24779,1.00000,0.15929,0.17699,0.38938,0.03540,0.00000
114,559,0.03947,0.23684,0.00000,0.09211,0.00000,1.00000,0.00000,0.00000,0.09211,0.00000,0.00000
115,18870,0.00000,0.00000,0.00000,0.00000,0.06716,1.00000,0.00000,0.08209,0.00000,0.00000,0.00000
116,5043,0.00000,0.00000,0.00000,0.00000,0.18605,1.00000,0.00000,0.16279,0.23256,0.00000,0.00000
117,23365,0.00000,0.00000,0.07547,0.33962,0.11321,1.00000,0.16981,0.00000,0.35849,0.18868,0.00000
118,5323,0.00000,0.00000,0.00000,0.00000,0.20000,1.00000,0.00000,0.24000,0.24000,0.00000,0.00000
119,5533,0.00000,0.00000,0.00000,0.00000,0.08974,1.00000,0.00000,0.14103,0.15385,0.00000,0.00000
120,29669,0.00000,0.05217,0.00870,0.00000,0.01739,1.00000,0.00000,0.03478,0.00000,0.00000,0.00000
121,15363,0.00000,0.18571,0.00000,0.00000,0.10000,1.00000,0.11429,0.00000,0.22857,0.18571,0.00000
122,31598,0.02083,0.10417,0.00000,0.02083,0.16667,1.00000,0.00000,0.29167,0.18750,0.00000,0.00000
123,5380,0.00000,0.00000,0.00000,0.00000,0.35000,1.00000,0.00000,0.37500,0.40000,0.00000,0.00000
124,11979,0.00000,0.17949,0.00000,0.15385,0.28205,1.00000,0.28205,0.07692,0.33333,0.00000,0.00000
125,19038,0.00000,0.00000,0.00000,0.00000,0.09615,1.00000,0.00000,0.30769,0.00962,0.00000,0.00000
126,11636,0.00000,0.28205,0.05128,0.05128,0.38462,1.00000,0.35897,0.30769,0.35897,0.00000,0.00000
127,23249,0.00000,0.00000,0.02174,0.26087,0.15217,1.00000,0.08696,0.00000,0.21739,0.23913,0.00000
128,12041,0.00000,0.08889,0.00000,0.06667,0.11111,1.00000,0.13333,0.13333,0.13333,0.02222,0.00000
129,8678,0.00000,0.00000,0.00000,0.00000,0.27083,1.00000,0.00000,0.18750,0.27083,0.02083,0.00000
130,15301,0.00000,0.03896,0.03896,0.12987,0.16883,1.00000,0.19481,0.00000,0.22078,0.05195,0.00000
131,5404,0.00000,0.00000,0.00000,0.00000,0.16667,1.00000,0.00000,0.25000,0.27083,0.00000,0.00000
132,23304,0.00000,0.01562,0.01562,0.18750,0.18750,1.00000,0.07812,0.00000,0.26562,0.18750,0.00000
133,23485,0.00000,0.00000,0.00000,0.31818,0.22727,1.00000,0.45455,0.02273,0.52273,0.22727,0.00000
134,12027,0.00000,0.24242,0.00000,0.27273,0.48485,1.00000,0.33333,0.36364,0.33333,0.00000,0.00000
135,29506,0.00000,0.03333,0.00000,0.06667,0.16667,1.00000,0.00000,0.30000,0.20000,0.00000,0.00000
136,566,0.09459,0.25676,0.00000,0.10811,0.00000,1.00000,0.00000,0.00000,0.12162,0.00000,0.00000
137,12135,0.00000,0.00000,0.00000,0.13462,0.17308,1.00000,0.15385,0.17308,0.21154,0.01923,0.00000
138,19069,0.00000,0.00000,0.00000,0.00000,0.03509,1.00000,0.00000,0.15789,0.07018,0.00000,0.00000
139,5067,0.00000,0.00000,0.00000,0.00000,0.25455,1.00000,0.00000,0.21818,0.32727,0.00000,0.00000
140,27671,0.00000,0.00000,0.00000,0.00000,0.15385,1.00000,0.00000,0.15385,0.25641,0.00000,0.00000
141,18919,0.00000,0.00000,0.00000,0.00000,0.04396,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
142,1499,0.00000,0.13889,0.08333,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.22222
143,23259,0.00000,0.00000,0.00000,0.11667,0.11667,1.00000,0.11667,0.00000,0.28333,0.33333,0.00000
144,15317,0.00000,0.18750,0.06250,0.16667,0.29167,1.00000,0.29167,0.12500,0.43750,0.00000,0.00000
145,17020,0.10000,0.10000,0.00000,0.00000,0.00000,1.00000,0.05000,0.00000,0.01250,0.00000,0.00000
146,5009,0.00000,0.00000,0.00000,0.00000,0.11236,1.00000,0.00000,0.11236,0.15730,0.00000,0.00000
147,11987,0.00000,0.09259,0.00000,0.14815,0.20370,1.00000,0.27778,0.09259,0.29630,0.00000,0.00000
148,13892,0.01923,0.30769,0.00000,0.03846,0.09615,1.00000,0.07692,0.00000,0.13462,0.00000,0.00000
149,16933,0.03061,0.08163,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.05102,0.00000,0.00000
150,5259,0.00000,0.00000,0.00000,0.00000,0.12500,1.00000,0.00000,0.10938,0.18750,0.00000,0.00000
151,25611,0.00000,0.00000,0.00000,0.12644,0.10345,1.00000,0.00000,0.00000,0.12644,0.12644,0.00000
152,12082,0.00000,0.40909,0.00000,0.13636,0.18182,1.00000,0.22727,0.18182,0.31818,0.00000,0.00000
153,13895,0.11111,0.14815,0.00000,0.01852,0.05556,1.00000,0.03704,0.00000,0.09259,0.00000,0.00000
154,12011,0.00000,0.09091,0.00000,0.25000,0.15909,1.00000,0.25000,0.11364,0.18182,0.00000,0.00000
155,12160,0.00000,0.18919,0.00000,0.16216,0.29730,1.00000,0.35135,0.29730,0.43243,0.00000,0.00000
156,29516,0.00000,0.07143,0.00000,0.04762,0.16667,1.00000,0.00000,0.16667,0.16667,0.00000,0.00000
157,27795,0.00000,0.00000,0.00000,0.00000,0.04396,1.00000,0.00000,0.00000,0.14286,0.00000,0.00000
158,5482,0.00000,0.00000,0.00000,0.00000,0.26829,1.00000,0.00000,0.31707,0.31707,0.00000,0.00000
159,29509,0.00000,0.05000,0.00000,0.02500,0.12500,1.00000,0.00000,0.17500,0.20000,0.00000,0.00000
