ID,Ball1,Ball2
81437,"{215043, 247812, 77837, 307215, 135185, 145430, 106520, 88089, 159768, 292889, 192543, 167971, 241699, 354340, 319529, 297002, 256043, 331822, 278576, 393267, 6200, 151608, 356408, 106556, 424001, 96327, 348232, 67658, 211018, 346190, 14421, 385109, 196698, 147552, 18529, 176228, 67685, 192613, 424041, 262251, 59502, 10351, 264304, 342127, 53363, 10371, 354435, 170124, 12429, 149646, 301199, 63632, 146, 319636, 143512, 325794, 133283, 211115, 360621, 186546, 80051, 278709, 157883, 98493, 37055, 88255, 18629, 108741, 276682, 121041, 14549, 129238, 272598, 288983, 299222, 413914, 411881, 245994, 190701, 92399, 172274, 47349, 289016, 278782, 317697, 174339, 401668, 340229, 143627, 174347, 321805, 78096, 98578, 14613, 12568, 4378, 252187, 293147, 10525, 362782, 254241, 133411, 301350, 49451, 213300, 299326, 137539, 330052, 287049, 194892, 276814, 90447, 26961, 348509, 125279, 49509, 250217, 82283, 55660, 39293, 231809, 121219, 250244, 98693, 311695, 373136, 104850, 326038, 401816, 37273, 18842, 270749, 174495, 219552, 403873, 399780, 334245, 164262, 170407, 334252, 379317, 285113, 338361, 270779, 338367, 211398, 266695, 297416, 291273, 51658, 299463, 203217, 281042, 268757, 100825, 119257, 401881, 246238, 418280, 184812, 66033, 80372, 162293, 242165, 143864, 84493, 10769, 37397, 27160, 203289, 264731, 66080, 229922, 391717, 203304, 2603, 51755, 184875, 330286, 285235, 125494, 225846, 195130, 320059, 361018, 80450, 579, 580, 131650, 283205, 395844, 410182, 90698, 201292, 334413, 217680, 119377, 107090, 270929, 277075, 297558, 385631, 307818, 154219, 291437, 66159, 387702, 8831, 27266, 4740, 150150, 64135, 232075, 164492, 96910, 322194, 246419, 342674, 62104, 166554, 287387, 148125, 420510, 82595, 273060, 139941, 344740, 346793, 299691, 82604, 45749, 389814, 316087, 395965, 195264, 363201, 197318, 334541, 8911, 29394, 322262, 359128, 226012, 258781, 334560, 389863, 60137, 328430, 314095, 152304, 279280, 355054, 418545, 314103, 25337, 322299, 250621, 262910, 15103, 4864, 27392, 54016, 11018, 82702, 19215, 217873, 152341, 256792, 203549, 133918, 357151, 297761, 17193, 162607, 72496, 281395, 56118, 117559, 365368, 267065, 275264, 15170, 242501, 164678, 398152, 222027, 154447, 355151, 160593, 242514, 373588, 78682, 379741, 109407, 187231, 355168, 45922, 234338, 267111, 74616, 347009, 170883, 207753, 363402, 398220, 394126, 211860, 355227, 283548, 344988, 127907, 152486, 82859, 177070, 215983, 297907, 338867, 340916, 197568, 383944, 209866, 93133, 377806, 273359, 27604, 60377, 5083, 170973, 289762, 107495, 308201, 218090, 312304, 324598, 224248, 31737, 340984, 404473, 244732, 336895, 144384, 316416, 347138, 189443, 123910, 304136, 316427, 17426, 371733, 119831, 7192, 422935, 332832, 373794, 111652, 263204, 76838, 89129, 156714, 336939, 295980, 212013, 349227, 353326, 377903, 367665, 414774, 261175, 412727, 410681, 173114, 349242, 339008, 343106, 128069, 154696, 293960, 195663, 99414, 44119, 17496, 275542, 326745, 357462, 189536, 308323, 126060, 124013, 199791, 375919, 142453, 167032, 121985, 52354, 144514, 193668, 144518, 203910, 162962, 224405, 410777, 408730, 398491, 165021, 3235, 117923, 136357, 140456, 48297, 244908, 27821, 167085, 318636, 322738, 384182, 273602, 68809, 9431, 25818, 201951, 177377, 74978, 357602, 308452, 19686, 124134, 326888, 175337, 373994, 322796, 68845, 390380, 218352, 290036, 183543, 140536, 392441, 382203, 335100, 128253, 408829, 132354, 158979, 288005, 412934, 273676, 64782, 208151, 247065, 384281, 339227, 173342, 210206, 267551, 326944, 89381, 296234, 265515, 75052, 11568, 341296, 103731, 380212, 58677, 58678, 363831, 365877, 267580, 146754, 415045, 189770, 101710, 359759, 359762, 306515, 54616, 208228, 13669, 185702, 226662, 230760, 351590, 177514, 130414, 253295, 77173, 355701, 271736, 355705, 140676, 83333, 79239, 198023, 202119, 179595, 21907, 218515, 50581, 284055, 421272, 138651, 79260, 318876, 155040, 204198, 355753, 142763, 1452, 337327, 300466, 28083, 333234, 1462, 390587, 204220, 288189, 306622, 181705, 243148, 267725, 9679, 341459, 26075, 132575, 153056, 198112, 105954, 341471, 368097, 372191, 17894, 7655, 376289, 290281, 26096, 255476, 110070, 181763, 17924, 374278, 60952, 151074, 26154, 144940, 200243, 282166, 382523, 114239, 306753, 157251, 11849, 93770, 259661, 69198, 245326, 284240, 134737, 235093, 61015, 423516, 69215, 396895, 67169, 89700, 304749, 380530, 159357, 161413, 171658, 261770, 253580, 378515, 419478, 149147, 315040, 310946, 145062, 294568, 106153, 204458, 290475, 13997, 75437, 241326, 16049, 126641, 116403, 65211, 112318, 184000, 358081, 116419, 243398, 276168, 310995, 296662, 163544, 18137, 50910, 110303, 311015, 204522, 163566, 265968, 26353, 335606, 98043, 134907, 153345, 38659, 354051, 163589, 366342, 96008, 360206, 147215, 30482, 227090, 22292, 306964, 415512, 358173, 272158, 83744, 34593, 313124, 337701, 372517, 378660, 50992, 81715, 114484, 94006, 91960, 231225, 141115, 104252, 157499, 286527, 212800, 294722, 79683, 276292, 251720, 331600, 38738, 321363, 403286, 57175, 184153, 331609, 145245, 135006, 268126, 278366, 59233, 403293, 94053, 102248, 229225, 341870, 401265, 171898, 135035, 8063, 325505, 229250, 241538, 85893, 38795, 61323, 214926, 49043, 102295, 335767, 386967, 386970, 67484, 382881, 356258, 118692, 49061, 145318, 223140, 20393, 34730, 106413, 53167, 30640, 30641, 194481, 53171, 233402, 151504, 223192, 415704, 49121, 366561, 10213, 96231, 249831, 407527, 264175, 221170, 370675, 219124}",
102619,"{352256, 69635, 104457, 311307, 321548, 176146, 106522, 16421, 57387, 389165, 327729, 350258, 258106, 423999, 92230, 276551, 260172, 26703, 237652, 376920, 346213, 116841, 346223, 225402, 125054, 120958, 297088, 422017, 166030, 184469, 252063, 92322, 215209, 313513, 215212, 14512, 168124, 336065, 30914, 127170, 57540, 159940, 381130, 256206, 239834, 366810, 110820, 301287, 188652, 102644, 192759, 385273, 174330, 270591, 375044, 61702, 377094, 309512, 362763, 39185, 401692, 53546, 119088, 147760, 82227, 108859, 254273, 47430, 411980, 141655, 237916, 80222, 389473, 365, 39287, 270716, 397696, 260482, 401795, 47498, 78218, 92555, 106892, 379278, 395663, 209298, 280982, 317850, 4508, 248239, 108990, 174532, 383428, 227784, 401871, 414162, 47582, 303588, 395749, 401900, 156142, 45551, 326142, 152067, 371203, 76306, 354845, 358942, 174624, 21025, 352804, 31277, 96817, 315965, 107075, 172611, 84551, 133703, 127563, 250448, 68176, 248404, 184920, 98920, 25193, 162408, 346732, 264813, 254577, 39548, 320131, 64134, 76423, 262796, 264846, 277139, 101015, 60058, 258721, 92841, 291501, 2735, 369335, 144056, 203458, 295621, 299728, 281297, 8916, 164565, 164581, 420581, 2792, 328426, 410346, 271089, 15092, 219895, 314104, 133884, 207617, 121607, 385800, 109321, 189193, 203532, 305934, 252687, 111384, 414489, 176922, 13087, 133927, 101169, 160561, 400184, 422713, 238401, 129858, 260962, 238442, 404338, 420727, 158592, 48004, 109448, 244620, 156558, 88985, 41882, 119705, 269220, 95141, 349093, 99253, 226236, 113599, 82896, 27602, 388058, 349154, 283619, 375780, 31718, 297965, 287729, 287735, 259072, 345093, 193547, 203792, 37912, 252956, 68639, 93215, 54306, 230447, 308271, 379952, 281655, 312376, 212026, 404539, 414780, 140349, 232525, 33871, 78928, 29777, 136276, 322647, 197721, 382041, 416861, 80996, 226404, 205927, 29800, 35945, 281707, 371822, 246915, 377995, 396428, 345229, 306321, 62616, 148632, 140453, 85158, 54439, 238757, 201897, 339112, 306350, 56505, 9405, 234690, 242882, 40149, 287959, 89309, 154848, 279781, 109805, 56558, 144622, 330992, 345328, 330995, 335101, 351486, 54550, 70946, 199977, 138543, 30002, 253238, 351559, 120141, 77136, 111963, 140637, 128350, 99686, 337264, 286068, 114038, 138618, 394625, 50565, 304521, 54666, 1430, 384407, 368025, 339354, 140706, 130469, 302504, 7597, 165293, 167342, 294321, 372147, 148916, 292277, 404921, 333242, 302526, 85439, 222658, 368066, 163282, 138712, 288217, 44506, 153051, 216539, 24031, 99807, 171489, 421347, 144871, 28137, 52716, 247280, 294384, 196086, 30200, 390649, 394755, 226828, 208403, 214556, 331295, 269859, 402979, 149029, 331305, 259641, 396860, 183875, 355910, 56909, 7759, 267857, 384594, 87639, 36440, 396887, 173659, 212574, 108139, 384626, 157310, 99970, 95877, 192135, 237202, 380564, 212630, 97948, 231068, 331421, 132774, 143015, 272043, 255660, 106159, 206521, 251578, 26301, 16062, 390864, 325338, 188137, 100074, 61164, 28400, 243441, 372474, 165628, 306961, 10003, 349976, 272153, 366364, 157469, 22303, 96034, 196386, 104242, 216888, 110394, 356154, 358205, 134976, 202561, 51013, 137029, 34631, 378694, 59211, 378710, 14177, 128865, 12131, 274280, 180079, 235382, 386935, 292728, 399225, 389001, 395165, 196511, 333729, 307113, 333737, 411565, 69550, 116655, 378810, 32706, 12227, 333776, 311261, 206820, 94184, 102384, 126974}",
386848,{24577},
298031,{225683},
410672,"{11264, 31748, 331268, 340486, 390663, 347656, 57356, 378381, 20495, 295441, 328212, 223257, 240668, 106524, 414238, 319519, 320035, 125478, 12839, 130088, 292394, 292906, 421419, 132654, 91183, 301617, 336438, 137787, 292413, 208960, 322116, 202821, 251463, 31816, 405575, 232523, 115279, 116816, 181331, 352851, 157782, 116823, 403544, 106073, 156251, 280667, 44125, 172641, 280166, 155751, 94312, 47209, 165992, 42603, 347238, 172657, 37492, 58485, 145527, 127607, 285322, 253070, 5784, 172699, 159395, 327848, 5801, 357547, 20652, 253101, 120496, 31922, 199858, 421043, 215735, 238775, 150715, 252093, 176833, 242370, 355522, 167109, 411335, 122056, 144585, 393928, 123084, 22221, 18641, 233683, 237268, 271060, 251608, 85210, 79068, 282338, 257763, 13028, 100069, 412902, 296163, 364258, 98536, 2793, 118506, 152811, 344811, 325869, 59118, 290542, 354025, 232689, 214263, 344312, 254713, 379129, 107771, 307453, 140032, 62723, 181507, 377603, 201481, 275721, 362768, 75538, 262930, 372498, 163605, 370966, 269595, 292124, 415515, 146208, 219937, 241952, 402723, 11044, 52004, 205095, 36136, 113963, 399667, 76085, 165686, 200504, 218424, 150332, 30525, 68413, 124733, 418620, 116034, 146245, 343880, 411464, 289107, 73557, 178006, 82263, 125784, 423255, 95578, 22877, 217951, 256868, 400740, 400230, 421732, 37224, 156521, 367847, 125292, 417643, 26478, 191342, 213361, 266609, 122739, 140153, 47482, 382842, 118143, 103807, 101761, 263040, 361343, 395139, 69509, 189833, 342921, 240525, 18320, 48016, 304016, 301974, 155031, 95230, 352672, 191905, 237473, 268705, 402152, 219559, 228777, 309673, 250795, 212909, 48046, 245679, 278448, 362415, 84916, 272309, 6585, 164794, 145340, 305598, 92096, 389056, 301506, 63998, 150983, 333258, 165324, 59853, 383951, 174035, 146900, 3541, 221652, 226260, 185304, 154585, 116702, 222689, 245219, 388068, 267757, 211439, 147953, 314353, 323573, 127478, 326647, 132092, 333310}",
221004,{402093},
90515,"{421378, 48131, 28677, 359430, 401414, 47113, 1549, 33293, 190478, 250895, 313870, 190489, 208410, 131613, 19997, 344098, 338467, 184868, 369188, 81959, 196655, 296496, 181302, 265782, 187449, 164410, 68157, 133181, 299583, 352322, 384582, 341577, 227402, 176715, 114764, 269387, 4689, 124497, 117331, 72788, 265298, 47704, 78425, 191066, 370268, 272479, 301663, 405607, 156265, 394347, 303212, 275056, 48753, 352880, 140403, 336500, 285813, 216694, 220280, 45688, 240761, 176251, 77436, 360061, 38012, 60029, 135301, 281738, 386698, 122508, 407178, 77968, 303248, 217746, 259730, 28310, 119960, 90779, 84636, 26269, 84126, 38559, 160925, 127649, 156833, 216221, 176804, 277155, 379561, 124595, 6836, 78517, 290997, 327347, 38585, 360633, 155838, 144575, 382656, 369858, 388805, 276166, 49863, 264910, 62159, 151247, 317648, 51410, 63701, 136406, 271062, 139480, 117977, 32474, 91357, 101605, 107238, 145637, 305894, 163050, 91371, 109806, 231662, 247536, 269044, 330996, 196345, 199419, 267515, 26877, 320254, 125184, 215808, 234753, 388356, 7941, 48902, 149765, 75016, 194824, 8458, 103691, 32524, 249612, 335120, 232724, 120599, 130328, 136473, 334615, 236315, 262941, 377121, 255785, 165674, 229677, 233261, 4911, 410416, 330034, 277811, 311606, 113463, 21304, 285499, 243520, 70465, 120131, 202054, 260934, 40264, 282950, 156490, 357706, 204621, 236878, 310605, 119120, 355664, 128851, 358230, 166232, 216408, 36699, 163163, 162657, 285026, 224101, 74086, 97642, 155501, 220013, 113007, 103283, 237939, 59766, 134007, 366967, 374134, 112506, 83835, 7547, 24444, 201084, 417150, 150913, 399233, 408962, 411523, 273289, 370057, 141708, 115085, 39310, 173966, 146832, 418190, 300947, 93588, 141204, 387479, 44952, 114585, 61338, 103835, 349084, 114082, 342434, 112038, 200105, 414468, 297903, 244144, 300980, 375221, 127927, 46008, 290232, 77755, 202172, 272831, 237504, 299457, 376259, 393667, 69575, 371657, 327626, 326609, 167890, 83924, 172501, 248788, 314837, 384983, 148441, 121818, 112091, 126938, 139227, 345565, 368095, 29667, 40419, 193509, 205284, 230883, 324067, 202217, 386024, 252395, 378349, 293359, 55280, 344562, 210931, 24057, 138746, 52731, 143356}",
260183,{99675},
383270,{279886},
195459,{3154},
