ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
408608,0,9,0,343,0,20,0,27,1,0,0,331,0,0,2,137,0,0,0,9,191,2,6,372,0,0,81,60,1,0,0,0,0,40,172,0,37,4,0,0,0,0,17,1
309761,0,10,0,222,1,16,1,40,0,0,1,225,0,3,8,116,0,0,0,10,175,1,5,162,0,1,87,57,0,0,1,0,0,17,209,0,59,4,0,0,0,0,14,1
136540,0,20,2,83,9,47,3,58,1,0,1,199,0,3,15,237,0,0,0,10,297,0,11,115,1,0,175,127,1,1,0,0,0,15,164,0,97,3,0,0,0,0,37,5
90515,0,1,1,100,1,8,0,13,0,0,0,172,0,2,1,76,0,0,0,0,108,0,0,220,0,0,42,37,0,0,0,0,0,4,12,0,22,0,0,0,0,0,0,0
95250,0,0,0,37,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,1575,97,0,0,0,0,0,0,0,0,0
300400,0,10,0,82,1,22,0,33,0,0,0,103,0,0,1,88,0,2,0,9,105,1,3,92,0,0,87,48,0,0,0,0,0,21,199,0,49,2,0,0,0,0,10,1
287262,0,2,0,252,0,8,0,13,0,0,0,269,0,0,1,137,0,0,0,1,202,0,2,382,0,0,89,39,0,0,0,0,0,2,113,0,26,0,0,0,0,0,7,0
298031,0,0,0,42,0,1,0,2,0,0,0,14,0,0,0,8,0,0,0,0,9,0,1,27,0,0,3,2,0,0,0,0,0,1551,231,0,2,0,0,0,0,0,0,0
192681,0,0,0,76,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,12,0,0,58,0,0,2,5,0,0,0,0,0,1240,141,0,2,0,0,0,0,0,0,0
96166,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,1242,27,0,0,0,0,0,0,0,0,0
160812,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,924,19,0,0,0,0,0,0,0,0,0
256684,0,1,0,42,0,1,0,4,0,0,0,11,0,0,0,7,0,0,0,0,18,0,0,21,0,0,6,2,0,0,0,0,0,1104,102,0,1,0,0,0,0,0,1,0
271517,0,1,0,174,1,4,0,5,0,0,0,251,0,0,1,62,0,0,0,0,138,0,1,231,0,0,38,14,0,0,0,0,0,6,81,0,13,0,0,0,0,0,3,0
202424,0,7,0,180,0,11,0,12,0,0,0,155,0,1,0,76,0,1,0,3,122,0,2,143,0,0,70,38,0,0,0,0,0,69,357,0,16,0,0,0,0,0,6,0
263339,0,1,0,36,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,8,0,0,28,0,0,1,2,0,0,0,0,0,1368,117,0,0,0,0,0,0,0,0,0
346908,0,0,0,91,0,3,0,9,0,0,0,156,0,0,3,60,0,0,0,3,106,0,1,99,0,0,28,26,0,0,0,0,0,23,388,0,19,1,0,0,0,0,3,0
93231,0,9,0,73,1,7,0,8,1,0,0,109,0,0,1,91,0,1,0,4,104,0,2,103,0,0,49,34,0,0,0,0,0,4,118,0,28,0,0,0,0,0,11,0
235176,0,9,1,43,6,15,1,23,0,0,1,87,0,1,9,97,0,1,1,3,125,1,3,59,0,0,74,46,2,0,2,0,0,6,32,1,29,6,0,1,0,0,17,3
354834,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1056,11,0,0,0,0,0,0,0,0,0
168350,0,3,0,101,0,8,0,13,0,0,0,283,0,2,1,125,0,1,0,3,180,0,1,165,0,0,78,42,0,0,0,0,0,1,27,0,29,1,0,0,0,0,7,0
40048,0,2,0,119,0,4,0,17,0,0,0,71,0,1,1,77,0,0,0,2,85,0,2,87,0,0,45,44,0,0,0,0,0,19,525,0,27,2,0,0,0,0,6,0
130754,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1022,22,0,0,0,0,0,0,0,0,0
7725,0,0,0,3,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,1074,20,0,1,0,0,0,0,0,0,0
186986,0,8,1,113,0,14,0,17,0,0,0,243,0,0,8,110,0,0,0,1,193,0,1,203,0,0,69,37,0,0,0,0,0,3,107,0,28,1,0,0,0,0,9,0
110003,0,0,0,51,0,0,0,1,0,0,0,14,0,0,0,6,0,0,0,0,4,0,0,35,0,0,6,4,0,0,0,0,0,929,176,0,4,0,0,0,0,0,0,0
404615,0,0,0,23,0,1,0,0,0,0,0,19,0,0,0,5,0,0,0,0,8,0,0,36,0,0,2,0,0,0,0,0,0,1178,42,0,1,0,0,0,0,0,0,0
181547,0,1,0,375,1,10,0,9,0,0,0,203,0,0,3,110,0,0,0,2,219,0,1,92,0,0,66,37,0,0,0,0,0,22,378,0,21,0,0,0,0,0,4,0
27913,0,2,0,175,0,6,0,7,0,0,0,59,0,0,0,33,0,0,0,0,48,0,0,105,0,0,26,21,0,0,0,0,0,616,318,0,13,0,0,0,0,0,0,0
396623,0,5,0,164,3,17,0,22,0,0,0,194,0,0,6,145,0,0,0,1,164,0,3,211,0,1,70,55,0,0,0,0,0,58,359,0,31,1,0,0,0,0,6,0
