ID,Ball
27933,"{46466, 30469, 10505, 45835, 49548, 57230, 3220, 36244, 52116, 51863, 61466, 2461, 27933, 62500, 71973, 20390, 68396, 4275, 42935, 73787, 73918, 17728, 3905, 3906, 3907, 3908, 3525, 3909, 4934, 44867, 76229, 42954, 60235, 10573, 32724, 62687, 2154, 6767, 15215, 10355, 6260, 69621, 45820}"
211,"{4740, 26122, 33292, 45201, 56981, 7064, 16921, 4890, 22687, 68004, 32421, 38569, 15021, 56366, 56500, 2486, 25654, 5562, 24507, 7227, 51390, 23488, 45376, 68035, 56265, 73296, 211, 5334, 36054, 31193, 73340, 2148, 9445, 45797, 68456, 61033, 20204, 49005, 31217, 60018, 66035, 4852, 13172, 30070, 54775, 64885, 37756, 12797}"
5325,"{15362, 27396, 43017, 27403, 28812, 65678, 28431, 57359, 60432, 60434, 64144, 71696, 38421, 46229, 1054, 2208, 19233, 31008, 52770, 63140, 26534, 23207, 1704, 74280, 14890, 59691, 59692, 27698, 63667, 73397, 29750, 63673, 67131, 21437, 34749, 48062, 3138, 29380, 27335, 328, 33225, 13642, 56649, 75719, 5325, 14417, 67154, 51155, 46036, 29272, 17369, 51929, 23260, 10717, 61540, 26853, 69734, 24679, 2280, 617, 24940, 48497, 44921, 74618, 47995, 9085}"
13123,"{60808, 17801, 49545, 26507, 66569, 75657, 53137, 52754, 40979, 9364, 20376, 42392, 49179, 52381, 19231, 5663, 66719, 37923, 52011, 35885, 40240, 50097, 19256, 75704, 2490, 56384, 70209, 13123, 28355, 50504, 54476, 27600, 50387, 42073, 43098, 74977, 59747, 33124, 26342, 69864, 28267, 17260, 59501, 70388, 38134, 6776, 17403, 54140, 70143}"
6150,"{34306, 6150, 71176, 42530, 50734, 55, 20538, 59453, 34888, 15440, 24672, 19047, 58984, 14981, 37000, 37514, 141, 37519, 23698, 21660, 19104, 41134, 38575, 73904, 57522, 21683, 41149, 56018, 37592, 68324, 62182, 1258, 30954, 61678, 72948, 76532, 54006, 65283, 67335, 74505, 74508, 28433, 38163, 55061, 33046, 55064, 26905, 26907, 52000, 48417, 68401, 317, 68928, 16204, 38734, 60252, 49002, 51059, 54645, 53128, 62859, 75666, 37783, 70553, 1958, 37287, 75178, 48556, 75181, 42417, 38834, 18370, 1991, 22985, 65483, 1493, 64994, 24549, 58855, 68594, 2551}"
53269,"{20993, 63109, 58124, 53135, 43920, 63120, 13970, 63121, 53269, 75132, 56730, 37531, 35867, 42492, 13214, 61597, 66721, 74021, 40873, 58537, 65326, 71473, 21426, 49075, 75828, 42933, 49845, 36792, 57144, 72888, 39611, 65339, 23747, 41412, 48068, 48324, 60487, 65350, 65353, 61004, 65358, 21200, 338, 4947, 28503, 60377, 60761, 24288, 33760, 36832, 44640, 57825, 60643, 68838, 57703, 37097, 54252, 64364, 32764}"
36528,"{64768, 51713, 72452, 21388, 59790, 10901, 74391, 7832, 18201, 1278, 11682, 21410, 71341, 62894, 36528, 59700, 12478, 50507, 2129, 40803, 30437, 18662, 24172, 28140, 57458, 30330, 65403, 22141, 35838}"
6139,"{11521, 37890, 58628, 48389, 48391, 48392, 29324, 23954, 45845, 44566, 60183, 60317, 28702, 1311, 43174, 36519, 43175, 41651, 5813, 71605, 68023, 5692, 61888, 28865, 197, 24518, 12495, 68432, 32854, 42839, 32252, 25437, 64092, 66140, 67678, 19426, 62179, 49127, 67307, 13805, 4975, 70004, 6139, 11004}"
51300,"{1280, 67464, 25353, 63498, 73226, 5388, 74765, 39822, 51343, 62097, 56855, 50459, 40603, 73128, 73261, 40628, 33848, 25161, 50761, 40651, 19919, 63828, 53592, 40408, 41179, 51300, 75517, 4606}"
25333,"{18944, 24577, 7231, 31808, 48703, 41548, 16995, 43621, 34918, 60017, 42613, 59518, 14978, 66705, 47255, 28835, 12454, 69807, 46768, 66738, 61108, 10934, 49335, 58041, 37055, 69839, 9424, 25298, 57046, 14552, 57054, 10978, 63214, 30450, 69874, 25333, 49404, 40703, 34051, 19722, 46350, 10518, 15126, 37154, 37155, 37157, 60710, 37159, 48940, 66370, 57155, 44368, 57169, 57178, 71014, 50538, 24943, 24945, 24947, 24949, 47478, 71034, 44411, 71037, 49537, 58256, 55192, 56221, 49567, 49568, 12706, 49570, 47532, 28085, 60345, 56262, 75725, 25583, 44019, 2557}"
