ID,Ball
60265,"{3589, 26118, 16905, 66573, 70160, 71701, 40472, 24604, 40478, 41502, 31776, 39459, 12324, 557, 32304, 72755, 31797, 28217, 55865, 23615, 28735, 38464, 48707, 12869, 34378, 30795, 40533, 3675, 46171, 34397, 68196, 46696, 25705, 62056, 21611, 38512, 4721, 34420, 8314, 29318, 57995, 4751, 50832, 3219, 38395, 68761, 71323, 34461, 45725, 45220, 60077, 74926, 37039, 9905, 39089, 4791, 41656, 10938, 26810, 35004, 34494, 2239, 10945, 50882, 6851, 12488, 11466, 13514, 35035, 24285, 15070, 35551, 72927, 27873, 39140, 4331, 60146, 22771, 39670, 39167, 16642, 7427, 50948, 62215, 71438, 1808, 6928, 48914, 21275, 36127, 44319, 20772, 36143, 4913, 10033, 11058, 3892, 40244, 50994, 38711, 3900, 3901, 61246, 3903, 3904, 38723, 60230, 16199, 21319, 60233, 60234, 3921, 851, 38739, 68947, 11608, 7004, 28509, 30045, 3425, 21860, 60264, 60265, 60266, 60267, 39276, 60268, 72040, 27506, 50039, 60791, 44927, 33664, 36737, 18309, 62341, 66961, 71067, 40860, 14753, 43939, 11173, 15274, 36780, 58798, 71089, 30642, 21427, 37810, 65459, 65461, 65462, 65463, 65464, 37818, 23483, 38844, 43966, 38847, 37827, 38851, 19918, 2512, 18896, 12772, 52196, 16358, 56810, 71151, 4084, 38900, 49654, 39415, 16379, 19965}"
30298,"{15366, 65035, 58382, 21519, 24597, 51740, 73763, 36900, 34354, 28211, 51776, 2116, 26694, 70226, 22614, 14938, 23140, 8807, 50281, 58985, 55916, 73328, 51826, 25204, 11896, 48253, 48258, 22149, 65159, 9874, 9882, 53920, 60067, 32938, 65208, 75960, 72378, 70332, 19648, 75968, 31430, 56521, 49354, 17117, 48862, 66785, 23270, 4848, 10481, 27384, 72441, 35066, 27392, 29970, 15636, 65813, 36124, 4900, 15140, 35117, 65842, 20275, 44340, 72503, 75577, 21321, 51529, 54090, 26456, 60250, 11106, 1891, 36708, 45412, 75108, 75110, 18792, 27496, 4474, 74108, 74109, 73598, 74110, 74111, 74112, 74113, 15236, 50053, 72071, 72072, 72074, 26508, 26510, 62355, 65430, 74649, 62363, 39328, 62370, 36261, 19881, 26026, 19883, 39338, 39341, 40363, 19887, 39343, 69039, 26041, 12218, 14780, 37315, 38853, 18889, 69069, 64464, 42976, 19425, 72163, 42980, 49652}"
48966,"{15362, 43017, 57359, 60432, 71696, 38421, 1054, 43042, 52770, 74280, 27698, 61491, 29750, 67131, 3138, 14417, 67154, 29272, 52317, 11360, 61540, 24166, 24679, 69734, 617, 5226, 31349, 61564, 73853, 50300, 55935, 28812, 52364, 65678, 72338, 46229, 2208, 63140, 1704, 27824, 73397, 67255, 36030, 28863, 70851, 29380, 36037, 27335, 5325, 23260, 26853, 2280, 753, 70903, 27396, 27403, 38157, 28431, 31008, 19233, 36134, 328, 56649, 70477, 24940, 48497, 74618, 47995, 9085, 3974, 21437, 48062, 75719, 11727, 46036, 35287, 17369, 10717, 74745}"
41880,"{70149, 48653, 67087, 67088, 67105, 67109, 67110, 22055, 67111, 41513, 44, 37934, 37935, 31288, 41531, 73797, 20056, 52834, 34938, 53886, 36995, 6276, 49286, 75405, 70798, 40082, 64659, 25249, 59041, 31395, 31396, 31397, 31400, 54965, 39113, 57577, 60157, 67838, 43775, 66836, 51995, 40221, 3358, 49950, 41255, 49992, 22348, 14677, 40288, 56674, 54630, 54637, 20847, 6009, 64901, 73605, 24968, 67476, 8088, 28057, 40345, 36257, 14762, 42922, 63405, 30640, 34236, 52164, 52166, 57799, 45010, 64980, 64983, 31707, 55772, 57820, 58336, 25571, 70115, 76271}"
20286,"{4740, 30597, 26122, 33292, 45201, 66578, 56981, 7064, 16921, 4890, 24730, 55320, 22687, 68004, 32421, 38569, 15021, 56366, 56500, 2486, 25654, 5562, 7227, 17212, 24507, 38460, 51390, 23488, 45376, 68035, 56265, 73296, 60753, 211, 5334, 36054, 31193, 73340, 2148, 9445, 45797, 59109, 68456, 61033, 20204, 49005, 11119, 61040, 31217, 60018, 66035, 4852, 13172, 30070, 54775, 64885, 37756, 12797, 74623}"
19674,"{60808, 17801, 49545, 26507, 66569, 75657, 53137, 52754, 40979, 9364, 20376, 42392, 49179, 52381, 19231, 5663, 37923, 35885, 19256, 75704, 2490, 56384, 70209, 13123, 28355, 50504, 54476, 27600, 50387, 43098, 74977, 59747, 33124, 26342, 69864, 28267, 17260, 59501, 70388, 38134, 6776, 70143}"
60103,"{37890, 6150, 71176, 44566, 28702, 20538, 5692, 59453, 15440, 32854, 28250, 64092, 66140, 67678, 58984, 14981, 29324, 141, 23698, 21660, 19104, 36519, 43175, 38575, 73904, 57522, 41651, 5813, 28865, 197, 12495, 9936, 62179, 62182, 70886, 74983, 67307, 61678, 54006, 11004, 11521, 58628, 48389, 48391, 48392, 38163, 45845, 33046, 60183, 26905, 26907, 1311, 317, 68432, 25437, 20832, 49002, 4975, 70004, 54645, 53128, 62859, 23954, 75666, 70553, 60317, 48556, 38834, 71605, 68023, 61888, 18370, 24518, 1991, 65483, 19426, 64994, 75237, 49127, 13805, 68594, 6139, 32252}"
70258,"{66560, 20993, 65026, 53269, 35867, 70180, 75828, 8758, 41021, 51774, 61004, 61005, 23122, 65115, 65116, 20573, 44640, 70754, 64637, 63109, 5258, 63120, 63121, 13970, 63122, 63123, 37531, 61597, 66721, 58537, 49845, 72888, 39611, 23747, 48324, 21200, 47828, 24288, 60643, 68838, 37097, 67820, 58124, 64279, 74021, 75050, 65326, 71473, 73526, 57144, 65339, 65347, 65348, 65350, 19273, 65353, 65358, 69970, 4947, 28503, 60761, 76125, 57703, 64364, 61293, 35193, 75132, 36231, 73095, 53135, 43920, 56730, 13214, 40873, 21426, 49075, 42933, 36792, 41412, 48068, 72135, 60377, 33760, 36832, 57825, 54252, 32764, 62959, 42492, 66557}"
44855,"{45096, 14157, 39023, 39024, 39217, 39026, 54895, 39188, 63327, 39031, 44378, 63295}"
61324,"{69483, 42923, 54212}"
