ID,green,red,cyan,pink,purple,yellow,orange,gray,blue
75524,149,74,12,0,8,4,23,5,20
27735,73,42,11,0,5,1,15,10,10
60357,94,21,8,1,14,3,8,6,85
47143,89,25,1,0,6,2,6,0,57
41293,69,42,30,1,11,5,22,8,48
47198,113,49,8,0,20,7,17,1,44
41761,113,39,9,0,12,3,26,3,30
50371,86,50,5,0,8,3,13,0,50
65865,77,39,5,1,7,2,20,4,48
39699,85,71,20,0,31,7,33,5,35
75331,102,44,10,0,13,4,16,8,11
48482,90,45,5,0,15,11,22,3,50
30297,60,23,2,2,8,2,11,1,35
3912,107,33,0,0,4,2,7,0,81
62554,66,35,2,0,9,4,11,2,57
73810,81,45,9,1,9,6,8,5,31
76377,82,36,3,1,9,4,16,1,87
29608,81,63,5,0,8,10,19,0,37
7285,51,43,10,0,11,3,7,6,22
4042,65,21,2,0,6,2,11,2,26
56663,71,40,3,0,9,5,20,2,20
65381,48,18,4,1,1,3,2,5,38
56092,52,64,8,0,18,9,27,6,13
39022,84,25,12,1,4,3,7,8,68
74813,75,23,6,1,4,3,9,1,29
44937,75,27,7,0,7,11,8,1,15
26443,67,19,0,0,2,2,1,0,31
14988,31,19,1,0,3,0,3,1,47
13445,52,42,7,1,9,7,15,4,18
34364,73,14,0,0,1,1,5,0,80
66639,59,31,1,1,10,1,17,2,51
37505,68,38,5,1,7,1,17,1,80
22432,47,39,6,0,5,3,15,2,33
46133,72,33,5,0,7,2,23,3,13
64624,47,28,2,0,3,0,9,0,62
13340,99,31,2,0,1,0,14,0,96
73998,20,31,27,0,18,17,28,20,5
67924,60,14,2,1,2,1,3,1,73
22840,53,51,5,0,12,2,29,1,6
71386,61,32,2,0,7,0,23,2,40
54044,85,13,0,0,3,1,3,0,64
3483,61,23,6,1,4,5,10,4,30
34296,73,68,10,0,22,12,19,2,10
32215,27,6,0,0,2,0,2,0,66
47695,69,20,4,2,6,0,5,6,65
76421,50,11,0,0,1,1,4,0,80
56040,118,27,8,0,3,5,9,10,64
49811,40,19,1,0,10,0,16,4,26
60893,70,34,1,0,10,2,16,1,64
32028,65,43,6,0,13,7,25,3,31
1347,57,36,0,0,12,1,11,0,5
5661,46,12,2,0,2,2,8,0,89
21484,59,28,1,0,6,0,7,3,31
13711,39,41,10,0,29,13,20,5,9
33431,85,28,2,0,6,2,15,1,30
65531,51,33,2,4,6,1,10,2,25
38570,80,33,1,0,11,5,17,3,28
66565,44,36,32,1,21,10,23,15,2
76349,58,32,6,0,10,2,9,0,24
72490,73,25,0,0,7,0,11,0,94
20844,61,14,1,0,1,0,3,1,45
65382,74,30,8,1,6,6,11,2,78
72932,88,43,0,0,5,1,16,3,27
41972,52,12,0,1,1,2,2,0,54
62829,68,38,3,0,7,1,21,8,39
62698,24,23,27,0,24,14,24,9,8
61881,72,23,6,0,4,2,6,1,33
72339,53,6,1,0,3,0,11,0,79
14036,62,30,4,0,7,2,28,2,31
72416,37,18,7,1,6,0,8,0,33
50426,92,17,1,1,2,0,10,1,14
63987,69,22,0,0,4,1,7,1,60
42163,51,4,0,0,0,1,2,0,77
22414,62,29,2,0,8,1,18,5,41
68418,70,13,2,0,3,0,9,2,124
66222,55,28,2,1,6,3,14,2,52
25629,45,17,0,1,3,2,9,3,90
21342,54,23,1,0,6,0,14,1,51
67800,54,31,1,1,7,0,9,1,31
35699,37,15,0,1,3,0,3,0,38
7629,73,36,3,0,7,6,22,2,38
31721,64,19,0,0,6,1,13,7,46
37410,30,31,11,0,5,3,10,6,20
18994,81,33,0,0,10,2,19,3,51
1745,51,31,4,0,8,4,14,10,34
42660,50,33,6,0,7,3,20,2,23
15859,59,6,1,0,0,0,3,0,62
19115,61,19,2,0,7,3,12,2,20
38903,33,24,5,0,6,0,3,0,13
36114,57,25,3,0,2,0,6,0,79
482,37,18,5,0,5,2,14,3,34
6630,60,32,10,0,21,10,24,16,36
24585,41,17,1,0,1,0,8,0,89
104,42,6,1,0,2,0,0,2,57
46144,46,13,0,1,3,0,4,0,77
42892,64,26,3,0,5,2,11,0,26
4760,61,11,0,1,2,0,1,0,82
74480,59,32,5,2,5,2,8,0,25
23662,36,8,0,1,2,0,12,1,58
58534,48,15,0,0,4,4,9,1,46
34538,73,22,0,0,9,0,8,1,76
58284,60,6,0,0,2,0,4,0,71
40216,57,17,0,0,2,0,5,1,101
48072,37,25,7,2,7,1,22,8,16
7982,25,18,6,0,5,3,8,2,10
11069,33,23,6,0,4,0,9,2,10
15028,58,17,1,0,1,1,5,0,45
49007,66,21,0,0,1,1,4,2,36
2030,53,13,0,0,2,0,1,0,65
1624,82,25,1,0,2,0,5,0,88
23873,36,19,1,0,6,1,4,1,24
4599,60,17,1,0,9,2,12,1,34
41577,44,15,3,1,0,1,5,0,50
54378,42,18,0,0,5,2,13,0,74
6977,79,23,5,0,10,8,12,0,81
58362,70,25,4,0,7,3,13,1,93
74328,65,10,1,1,2,0,7,0,74
37100,56,6,0,0,0,0,1,0,97
39032,71,22,4,0,6,4,6,13,54
2780,63,19,1,1,2,1,3,0,51
64397,65,14,0,0,0,0,3,0,53
30586,31,11,0,0,0,0,2,0,44
48892,89,25,1,0,7,1,8,0,71
52355,64,27,4,2,11,4,18,0,44
68458,63,9,1,0,4,1,6,1,83
4516,61,29,0,0,6,3,11,0,68
27270,74,11,2,0,1,0,3,0,92
31109,30,17,0,0,3,0,1,0,22
49516,69,2,1,0,3,0,7,0,80
23918,64,13,1,0,1,0,5,0,70
22404,56,30,1,0,9,4,13,0,77
18440,88,34,4,0,4,6,11,2,41
32594,67,16,2,0,2,1,4,1,52
68981,76,38,3,0,7,1,9,0,37
72660,32,18,4,0,5,1,8,3,78
44271,80,29,2,0,5,3,14,0,33
24386,73,32,2,2,7,1,14,1,18
75456,25,15,4,1,7,4,17,3,30
11341,79,28,3,0,1,0,3,1,48
9559,53,11,0,3,1,0,3,1,88
73706,61,15,1,0,0,2,3,0,109
68373,51,9,1,0,1,0,3,2,74
11861,79,25,2,0,3,1,7,0,68
49852,24,21,2,0,13,3,19,3,1
26090,31,20,2,0,10,1,11,3,19
71066,68,15,5,0,2,3,4,2,71
35234,43,25,1,0,4,1,10,1,36
62933,23,6,0,0,1,0,2,0,68
49837,71,25,1,0,9,2,9,2,46
41480,69,37,4,0,8,3,6,1,27
54571,41,27,4,0,4,1,8,2,16
69372,86,17,1,0,13,1,10,10,71
14031,23,7,1,1,1,0,4,1,86
56899,75,11,1,0,2,1,11,0,84
43223,53,9,0,0,1,1,5,1,95
46821,22,26,8,0,14,4,16,13,10
1556,81,16,1,1,1,1,3,3,146
49728,64,22,14,6,6,3,12,0,73
41409,48,19,3,0,2,1,6,0,56
26803,61,19,0,1,4,0,7,0,74
46590,39,15,5,2,2,0,7,0,76
60505,99,20,0,2,1,14,6,2,101
21078,45,15,2,1,2,2,9,0,47
65527,59,27,1,0,3,1,9,1,68
58581,51,12,3,0,2,1,5,1,62
50317,56,10,2,1,1,1,3,0,89
43773,57,15,1,0,2,3,5,1,40
26130,68,22,1,1,7,5,9,0,56
65271,77,13,2,3,1,1,3,3,143
53466,54,10,3,0,1,1,6,0,51
56564,23,28,19,0,11,7,12,1,2
69572,62,22,5,0,6,0,8,0,98
66835,50,11,1,0,3,1,13,4,49
44613,52,13,0,0,0,0,4,1,85
46185,71,11,0,3,0,0,1,2,89
68513,47,11,0,1,4,0,8,1,92
45054,55,16,0,0,2,0,4,0,55
19204,50,15,2,0,3,0,5,2,60
16389,68,9,2,2,3,0,2,1,144
42360,31,5,2,0,12,4,6,7,7
26921,42,6,3,1,3,0,4,1,65
67198,58,7,3,0,1,0,14,0,75
63693,57,29,5,0,6,5,14,6,37
37194,48,9,3,0,4,4,8,0,45
48595,47,13,2,0,4,1,4,0,50
62799,48,11,2,1,7,2,11,2,45
3287,70,9,1,0,0,0,4,0,102
31959,51,19,3,2,1,1,4,1,76
19831,28,2,0,1,0,1,2,0,77
44728,54,17,5,1,8,3,5,5,38
3769,15,1,0,1,0,0,3,0,108
61663,45,8,0,1,1,0,5,1,104
60019,76,23,5,0,12,4,17,2,72
25462,47,10,4,0,6,4,4,1,65
44278,53,26,7,0,8,1,20,2,70
55970,46,24,2,2,3,5,10,0,49
36642,84,17,2,0,5,3,12,2,88
26870,43,25,10,0,10,4,14,1,49
38945,62,10,2,0,1,5,6,0,67
65209,39,14,0,0,2,0,9,0,45
47927,41,10,1,0,4,2,4,0,49
61276,33,18,6,0,10,3,13,1,24
38433,39,10,0,0,2,2,4,0,44
65697,28,1,0,0,2,0,8,1,47
4786,72,14,0,0,4,0,5,0,80
65687,40,9,1,0,2,0,4,0,36
8120,55,10,0,1,1,0,2,0,71
34111,44,17,0,0,0,0,1,0,81
13224,92,26,4,0,2,0,12,1,180
55842,45,15,2,3,1,0,0,0,80
26222,48,5,1,0,2,4,7,1,63
58176,46,9,0,0,2,3,9,0,70
6573,62,15,0,0,7,2,7,2,51
32602,76,12,0,2,1,0,6,3,121
40577,56,36,4,1,8,3,14,1,70
57030,45,27,2,0,8,4,11,1,51
54052,35,10,1,0,3,0,3,1,70
60334,77,25,0,1,2,1,10,0,96
44882,60,14,1,0,4,3,6,0,37
3891,74,39,6,0,11,2,20,2,36
45740,31,14,2,2,1,3,4,0,60
39385,56,16,7,0,2,3,7,0,41
62227,54,7,0,0,1,0,2,0,68
8353,37,10,2,0,6,0,7,1,20
23919,61,8,1,0,2,0,4,3,54
66766,48,12,8,0,2,1,7,0,84
49017,44,16,3,0,6,6,10,1,63
62119,46,12,1,0,0,2,5,0,82
15360,49,18,1,0,0,3,7,1,41
40998,65,10,0,1,2,0,4,0,122
43613,75,17,0,2,2,1,6,0,141
55694,84,21,3,4,6,3,8,9,182
37634,87,23,0,1,0,0,7,0,84
69336,45,22,5,0,7,1,6,3,33
11877,27,1,0,3,0,0,2,1,93
15702,58,15,0,3,0,0,1,1,115
54592,76,25,7,1,7,2,14,2,97
55115,38,11,2,3,7,0,6,0,70
60349,55,15,6,1,8,1,12,0,60
63959,28,6,0,0,0,1,0,1,97
366,30,5,0,0,6,1,2,0,46
41011,70,26,2,1,2,1,6,0,129
46777,17,8,6,0,8,7,18,0,9
54701,45,24,7,0,7,4,21,3,14
3213,20,7,1,2,3,1,6,3,32
24763,53,11,0,0,1,0,3,0,80
59517,56,5,0,1,0,0,3,1,100
40153,54,12,0,3,2,1,5,5,101
47103,41,13,5,0,6,5,8,3,47
46747,42,15,3,1,9,4,8,2,35
43968,60,34,3,0,8,2,23,0,45
13799,51,24,3,0,11,4,10,0,39
49663,27,11,3,0,4,4,5,1,21
64348,49,16,1,0,1,1,1,0,83
30746,31,10,0,2,0,0,2,0,85
41956,53,15,6,0,2,2,5,5,87
54866,47,10,2,0,1,0,3,0,83
70229,41,10,1,1,1,0,2,0,120
23897,53,15,0,1,2,0,2,1,97
44154,38,12,3,1,3,2,6,2,57
43760,92,10,3,3,3,2,5,0,145
23316,63,19,3,0,17,5,15,0,46
65590,79,12,0,1,3,0,4,0,112
76060,24,14,1,0,2,1,10,1,2
55716,41,11,2,3,4,1,6,0,136
54138,17,9,4,2,2,2,12,1,40
18421,57,15,0,5,0,0,4,1,93
60306,51,27,3,0,5,0,7,2,86
55981,21,6,0,1,0,0,2,0,81
53371,22,14,2,2,1,1,6,0,61
69768,22,2,2,2,1,1,1,1,98
33372,59,8,2,0,3,0,4,1,29
46060,61,16,1,2,2,0,6,1,85
48523,31,13,4,0,4,1,2,0,30
48363,38,8,2,1,2,0,5,2,110
50642,38,10,2,1,2,0,3,2,95
43833,43,15,7,0,9,1,10,0,36
55117,20,3,1,0,5,1,6,0,50
28274,45,21,4,0,13,7,20,3,26
66405,36,13,0,0,2,0,4,0,91
