ID,Ball
20051,"{19969, 20485, 20486, 18441, 18958, 22545, 20507, 22044, 18973, 20007, 21545, 18481, 18482, 20533, 22587, 18496, 20033, 21072, 20051, 21081, 21596, 20070, 20586, 19052, 21104, 21106, 22644, 20598, 22646, 20600, 20606, 20100, 21636, 22664, 22665, 21644, 20624, 20631, 20636, 21660, 21670, 21161, 18621, 20670, 21698, 22723, 18122, 18123, 21713, 18643, 22745, 21728, 19689, 19690, 20727, 18178, 19720, 18699, 18706, 18707, 19734, 22305, 22310, 22845, 19776, 19777, 18246, 22865, 21842, 22866, 18260, 18261, 19801, 22361, 21852, 18270, 21344, 20323, 21860, 18790, 21870, 18293, 18294, 21369, 20348, 19847, 21383, 22919, 18835, 20380, 20899, 20900, 20903, 19881, 18353, 21432, 22458, 21439, 18880, 21440, 19913, 21964, 21966, 18898, 19922, 20438, 22487, 22491, 22492, 21470, 21478, 22505, 18416, 21488, 18933, 18426, 22525, 18942, 22527}"
22834,"{22533, 19979, 22542, 19985, 22547, 22548, 19989, 19990, 18457, 18969, 22045, 20511, 22048, 22050, 18471, 22057, 20522, 22059, 21548, 22061, 22569, 21554, 22578, 22579, 22581, 22582, 22583, 22584, 20537, 22585, 22598, 20558, 20049, 21592, 21598, 21090, 21605, 21108, 20599, 20608, 22661, 18566, 20614, 20615, 21642, 20112, 22678, 22679, 22680, 22682, 20128, 20646, 20647, 21159, 21672, 20652, 18099, 22720, 22721, 22722, 20676, 20683, 21716, 20697, 22753, 18146, 18148, 18149, 21732, 20714, 19691, 22765, 19695, 20723, 21747, 18688, 19725, 18191, 22802, 19742, 18725, 19749, 22831, 22834, 18227, 18230, 22846, 22852, 22861, 18769, 19795, 22356, 22872, 18265, 22874, 22876, 22877, 18782, 22879, 22880, 18273, 20328, 21866, 22891, 20342, 20344, 21373, 22914, 20357, 20358, 20362, 18318, 18319, 20366, 20367, 22931, 20884, 19862, 22936, 18329, 18842, 19866, 18844, 18334, 20387, 20397, 21430, 18361, 18873, 19897, 22459, 21949, 22460, 22461, 21446, 21959, 21453, 21974, 22490, 18395, 18907, 18908, 19931, 21487, 20477, 22526}"
31709,"{32260, 27653, 29191, 30727, 32263, 32264, 26643, 28180, 32788, 32280, 29721, 27674, 29214, 29215, 28704, 30751, 30753, 28199, 30760, 29743, 30767, 29745, 28724, 30773, 32310, 29752, 30776, 30778, 28733, 29759, 27713, 28225, 29763, 27718, 29258, 26702, 27214, 27728, 29779, 29781, 28758, 29784, 31833, 27226, 27232, 27746, 30824, 30825, 27244, 28780, 32879, 29296, 30330, 30333, 26750, 26751, 28287, 29311, 29825, 30334, 30340, 27782, 30855, 28808, 28297, 27274, 28298, 28810, 30856, 28302, 31885, 31886, 30353, 30354, 30355, 27284, 31887, 32913, 28823, 30360, 28828, 28317, 32087, 28838, 29355, 28844, 32942, 27311, 26800, 27823, 26802, 29361, 26807, 26808, 29367, 29369, 27323, 27324, 26813, 27325, 27838, 29375, 32907, 31940, 28871, 28879, 27355, 28385, 29413, 30949, 31973, 31975, 29417, 29418, 27885, 27887, 29938, 29939, 27381, 27383, 27388, 27391, 27397, 26886, 28943, 27923, 26904, 26909, 27934, 29471, 27425, 31533, 26927, 26928, 29489, 32052, 26933, 32569, 32570, 26939, 32571, 27967, 27970, 30024, 30541, 27471, 29520, 30033, 27989, 29527, 27480, 29528, 30041, 29019, 27484, 29533, 30555, 30047, 26976, 31068, 32606, 27495, 27501, 32109, 28020, 31607, 27514, 27517, 28031, 27008, 30591, 28547, 29059, 30090, 26510, 27025, 29074, 30099, 30100, 30101, 27547, 27036, 28060, 32159, 26529, 26530, 27041, 29092, 28582, 32680, 29613, 29614, 32175, 26544, 27568, 31664, 27062, 29113, 29117, 27070, 27582, 28096, 31677, 29638, 27595, 27596, 28624, 29649, 28626, 29139, 29652, 28117, 28123, 27100, 27101, 28125, 31709, 31711, 27618, 31715, 31716, 27113, 31212, 29167, 31215, 29169, 31217, 29683, 29172, 31219, 31221, 32752, 32251, 27644, 32253}"
11495,"{13323, 14347, 10253, 10773, 12831, 9761, 11821, 11822, 10287, 12845, 10804, 9783, 14397, 9794, 11844, 9798, 10317, 13903, 14415, 12371, 13914, 13916, 10334, 13918, 12391, 10346, 12394, 12395, 14445, 10865, 14450, 10356, 14452, 10363, 10878, 10880, 10881, 14465, 10883, 13447, 14475, 14476, 12943, 10388, 13977, 11426, 11431, 11432, 14503, 10923, 14511, 11970, 13541, 11495, 14057, 11504, 14580, 13049, 13050, 9978, 13052, 14590, 9985, 11015, 10006, 10518, 11034, 13610, 13102, 14127, 13619, 13110, 14135, 13644, 14157, 13653, 13655, 13673, 13676, 13679, 13680, 11121, 10106, 11139, 10117, 11658, 13716, 11671, 12702, 13736, 11182, 14333, 14270, 14271, 10695, 14285, 13785, 13278, 13282, 13796, 14309, 14315, 13294, 14320, 14324, 11773, 11775}"
22576,"{18432, 18433, 18435, 20483, 22021, 22030, 22033, 22036, 22037, 22043, 20509, 20510, 20517, 20012, 18480, 22576, 20535, 20536, 18500, 18501, 20052, 21078, 20572, 21087, 20072, 20078, 18544, 22642, 20088, 21112, 18560, 21121, 21637, 21638, 21640, 21641, 21643, 20620, 21663, 21666, 21678, 20655, 21679, 21680, 21682, 21684, 18624, 18625, 20673, 20678, 21708, 18126, 18639, 18129, 18130, 21719, 18139, 18140, 20700, 20710, 19692, 18671, 21743, 19697, 19704, 19706, 18170, 19708, 18171, 18172, 22793, 18202, 22306, 22308, 19752, 19757, 18241, 21827, 19785, 21847, 19800, 21850, 19809, 20324, 21348, 21353, 20331, 21361, 20340, 18805, 18806, 21371, 18314, 18315, 21386, 21390, 18836, 19863, 20376, 19869, 18846, 18847, 20382, 20383, 22434, 21415, 20392, 18858, 22442, 21425, 21427, 21428, 21947, 20427, 21965, 21967, 21456, 19925, 19932, 21469, 22493, 19935, 19956, 20468, 20471, 20473, 20474, 18431}"
30302,"{27657, 29195, 28174, 30735, 27664, 28178, 30739, 32787, 29717, 31767, 28185, 30234, 30235, 30745, 30748, 32282, 30752, 31794, 28211, 29747, 31797, 28215, 28736, 30798, 30803, 26708, 30294, 27738, 27228, 27740, 27741, 30302, 30817, 29794, 30306, 29800, 27755, 27757, 29806, 30838, 32896, 27266, 30338, 26763, 30348, 31884, 30350, 27283, 27285, 30358, 30359, 30361, 32922, 26783, 32428, 27822, 29358, 28348, 32453, 27846, 27335, 27858, 27859, 29405, 27360, 29408, 27874, 29925, 27878, 26857, 28396, 28401, 27380, 28412, 29441, 27906, 27395, 29445, 32517, 32518, 26894, 29454, 26896, 31507, 29461, 29462, 31000, 29469, 28978, 31538, 26945, 26947, 27462, 27463, 27465, 28491, 30540, 29519, 30037, 32086, 31583, 26466, 29540, 29543, 30061, 26992, 27505, 29559, 27518, 28544, 28040, 29582, 30097, 32660, 30613, 28058, 27557, 32681, 26542, 26555, 31684, 31173, 31174, 29647, 32209, 28121, 32731, 29160, 29168, 31216, 27122, 27125, 27126, 32250}"
6508,"{7168, 8193, 8709, 8198, 8710, 7688, 8712, 4624, 5655, 8216, 4124, 3614, 5157, 5158, 6695, 6697, 7209, 7731, 7732, 6211, 5708, 3150, 5714, 3668, 6743, 3677, 4703, 8288, 8802, 6248, 6762, 3179, 3693, 9327, 4720, 9328, 3186, 3187, 5247, 4739, 4229, 4230, 5254, 4233, 8335, 3734, 3751, 4780, 3253, 6844, 7868, 6858, 5836, 4303, 4315, 4829, 7391, 3298, 5350, 5352, 8696, 8429, 9457, 8437, 3834, 6914, 6915, 3844, 6916, 6917, 6919, 3339, 3851, 4881, 3346, 4883, 9213, 4885, 7450, 5407, 7458, 6435, 5925, 5423, 2869, 3383, 3387, 2875, 6971, 4419, 3912, 4441, 6490, 7515, 3424, 4449, 7010, 7522, 3428, 7524, 5479, 5991, 6508, 4974, 7022, 7540, 3966, 7554, 7555, 6021, 4486, 4487, 9606, 5003, 9108, 2968, 5016, 4506, 7578, 3998, 7076, 5551, 4017, 5553, 2999, 5057, 5070, 4050, 4065, 5601, 7143, 5613, 8173, 8174, 8175, 8178, 3060, 8692, 8693, 8694, 6136, 8698, 9211, 8700, 5117, 8702, 8703}"
19784,"{18944, 18945, 22529, 22531, 22532, 19981, 19982, 18447, 18961, 18452, 18456, 19999, 20513, 22052, 22565, 20008, 20009, 20529, 20021, 18491, 18494, 21567, 19450, 20038, 22599, 19026, 20565, 20570, 21091, 20581, 18534, 20073, 20074, 21103, 22643, 20094, 21120, 20099, 22660, 22662, 21136, 18577, 20628, 20118, 20632, 21667, 21668, 20645, 20649, 20650, 19635, 20664, 18105, 20665, 18619, 18620, 20666, 21695, 20672, 21699, 18628, 18629, 18630, 21703, 21705, 18124, 18636, 20690, 20698, 20699, 21724, 22746, 21727, 21737, 21741, 21744, 20725, 18710, 19744, 19745, 22309, 18736, 19769, 18746, 19770, 19771, 19778, 18245, 19783, 19784, 21839, 18256, 22359, 21849, 19808, 18788, 18795, 19829, 21877, 21882, 20347, 21375, 21384, 19849, 19850, 19851, 20361, 20363, 21385, 22926, 18320, 18322, 18323, 20882, 20377, 20381, 18335, 20385, 18346, 18877, 20417, 20418, 21448, 21963, 19406, 21457, 20440, 18393, 18398, 18915, 21475, 20457, 21483, 18417, 18418, 18419, 19962, 18428, 18429, 18430, 18943}"
19755,"{20481, 19458, 18436, 18437, 18440, 19980, 20500, 18975, 20512, 20002, 20004, 20011, 20013, 20531, 18487, 18489, 18495, 19013, 20042, 22603, 19961, 21070, 19027, 20563, 18517, 18518, 20054, 22614, 20571, 20578, 20580, 20076, 22647, 21115, 20097, 18562, 21126, 22667, 22671, 20629, 18585, 20121, 20125, 18592, 18595, 18599, 18100, 19641, 18110, 19646, 18119, 18631, 18632, 22728, 18125, 21712, 18132, 21722, 18141, 21729, 21733, 21736, 21738, 20717, 21742, 21746, 18165, 18687, 18694, 18696, 18187, 18193, 18198, 18199, 18207, 18208, 19743, 22311, 22313, 18730, 19755, 22314, 22315, 22317, 18739, 18748, 18749, 22844, 21311, 18240, 21823, 21825, 18756, 21828, 21832, 19786, 18763, 21835, 21838, 22358, 21335, 18776, 21336, 18266, 18779, 21338, 21851, 21853, 22362, 18274, 18275, 20325, 18793, 18285, 21869, 21359, 20339, 21365, 19831, 18807, 20343, 19834, 18810, 19836, 21374, 20864, 21377, 20359, 20360, 18832, 21394, 21395, 18326, 21398, 20378, 21409, 18853, 18856, 18857, 19884, 22444, 20398, 18872, 18876, 20413, 21437, 20419, 20420, 21955, 18374, 18375, 18888, 18890, 21451, 19919, 19928, 22494, 20447, 21472, 20449, 19938, 18403, 19942, 20454, 19945, 21481, 18425}"
8798,"{4097, 5141, 5672, 4650, 5713, 5203, 9301, 8793, 9305, 8795, 8796, 9308, 8798, 5727, 3168, 5729, 8799, 5731, 5222, 8806, 8807, 8808, 6257, 5251, 9357, 5783, 3743, 3744, 4256, 9379, 3236, 5796, 9381, 3240, 6825, 6826, 6827, 6828, 6829, 5301, 4790, 4280, 4281, 7355, 5309, 3264, 6340, 7364, 7366, 9424, 9425, 9439, 3297, 4326, 7921, 4852, 8438, 4855, 4856, 8951, 3848, 4361, 7436, 4366, 4882, 9492, 7959, 3864, 3866, 3870, 3359, 4385, 6433, 4389, 6951, 3367, 5434, 8517, 4939, 3410, 5975, 5976, 2915, 5996, 6516, 8052, 8567, 9592, 8570, 6528, 6022, 8586, 8587, 8596, 8597, 8598, 8599, 6040, 6041, 4514, 9647, 9140, 9141, 5047, 9144, 4537, 5084, 8672, 8699}"
