ID,dimgrey,chartreuse,darkcyan,aquamarine,crimson,burlywood,darkolivegreen,brown,darkgrey,darkseagreen,darkgoldenrod,beige,darkturquoise,cyan,coral,black,dimgray,darkgray,darkred,chocolate,bisque,darkkhaki,cornflowerblue,azure,darkslateblue,darkorange,blanchedalmond,blue,darkgreen,darkviolet,darkorchid,deeppink,aliceblue,antiquewhite,aqua,deepskyblue,blueviolet,cornsilk,darkmagenta,darkslategrey,darksalmon,darkslategray,cadetblue,darkblue
379047,0,21,1,799,1,49,0,65,1,0,0,908,0,3,6,414,0,0,0,12,617,2,9,1113,0,0,262,154,1,0,0,0,0,52,345,0,105,6,0,0,0,0,34,2
253398,0,28,3,294,9,73,3,94,1,0,1,712,0,5,22,480,0,1,0,17,692,0,14,466,1,0,344,227,1,1,0,0,0,25,453,0,160,5,0,0,0,0,53,5
256335,0,1,0,223,0,1,0,2,0,0,0,46,0,0,0,21,0,0,0,0,27,0,1,119,0,0,6,9,0,0,0,0,0,5354,643,0,4,0,0,0,0,0,0,0
326892,0,15,0,611,1,38,0,80,0,0,0,591,0,2,7,354,0,2,0,16,517,1,6,506,0,0,242,171,0,0,0,0,0,130,1556,0,133,5,0,0,0,0,21,1
392267,0,32,0,652,3,50,2,81,1,0,2,793,0,5,15,481,0,1,0,25,668,1,9,570,0,1,304,193,0,0,1,0,0,39,1036,0,150,6,0,0,0,0,38,2
27140,0,0,0,33,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,7,0,0,26,0,0,0,0,0,0,0,0,0,4009,30,0,0,0,0,0,0,0,0,0
102401,0,0,0,218,0,3,0,4,0,0,0,90,0,0,1,41,0,0,0,0,35,0,0,233,0,0,12,10,0,0,0,0,0,2492,303,0,5,0,0,0,0,0,1,0
305291,0,0,0,16,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,3641,96,0,1,0,0,0,0,0,0,0
401771,0,0,0,41,0,1,0,0,0,0,0,33,0,0,0,6,0,0,0,0,16,0,0,52,0,0,2,0,0,0,0,0,0,3645,59,0,1,0,0,0,0,0,0,0
13089,0,2,0,113,0,0,0,3,0,0,0,56,0,1,0,16,0,0,0,0,26,0,0,52,0,0,14,4,0,0,0,0,0,3076,145,0,3,0,0,0,0,0,1,0
