ID,Ball1,Ball2
146687,"{135185, 145430, 106520, 159768, 292889, 167971, 319529, 297002, 331822, 6200, 96327, 348232, 67658, 346190, 14421, 196698, 18529, 192613, 262251, 10351, 264304, 342127, 301199, 146, 319636, 143512, 325794, 133283, 211115, 278709, 157883, 37055, 88255, 276682, 121041, 14549, 272598, 413914, 411881, 245994, 190701, 278782, 317697, 174339, 143627, 78096, 98578, 4378, 252187, 293147, 254241, 301350, 299326, 137539, 330052, 287049, 90447, 26961, 49509, 250217, 55660, 121219, 250244, 373136, 326038, 18842, 270749, 219552, 403873, 334245, 164262, 334252, 379317, 285113, 338361, 270779, 211398, 266695, 297416, 291273, 51658, 281042, 418280, 66033, 162293, 143864, 84493, 10769, 203289, 391717, 2603, 51755, 285235, 225846, 195130, 320059, 361018, 262718, 80450, 395844, 283205, 201292, 119377, 297558, 307818, 154219, 291437, 387702, 27266, 232075, 164492, 246419, 166554, 148125, 420510, 273060, 139941, 344740, 293544, 346793, 82604, 45749, 389814, 363201, 8911, 226012, 334560, 314095, 418545, 314103, 25337, 250621, 262910, 15103, 4864, 11018, 82702, 203549, 133918, 357151, 297761, 17193, 162607, 72496, 281395, 56118, 267065, 275264, 398152, 154447, 373588, 187231, 234338, 74616, 347009, 170883, 363402, 211860, 355227, 127907, 152486, 82859, 340916, 197568, 383944, 209866, 377806, 27604, 289762, 312304, 224248, 340984, 144384, 189443, 304136, 316427, 371733, 119831, 332832, 373794, 263204, 76838, 89129, 156714, 295980, 212013, 377903, 414774, 173114, 349242, 343106, 128069, 293960, 99414, 44119, 275542, 326745, 357462, 308323, 126060, 124013, 142453, 121985, 52354, 193668, 203910, 410777, 408730, 165021, 140456, 48297, 167085, 322738, 384182, 273602, 9431, 74978, 124134, 373994, 68845, 218352, 290036, 140536, 392441, 408829, 132354, 288005, 64782, 339227, 267551, 89381, 296234, 341296, 103731, 58677, 365877, 146754, 189770, 101710, 359762, 54616, 13669, 226662, 230760, 253295, 77173, 355701, 271736, 355705, 140676, 79239, 179595, 50581, 421272, 79260, 318876, 142763, 337327, 1462, 390587, 204220, 306622, 181705, 243148, 267725, 9679, 341459, 341471, 153056, 368097, 372191, 17894, 290281, 374278, 26154, 144940, 382523, 114239, 11849, 259661, 69198, 284240, 235093, 423516, 67169, 89700, 161413, 261770, 253580, 419478, 149147, 294568, 204458, 16049, 126641, 116403, 65211, 358081, 116419, 296662, 163566, 265968, 335606, 98043, 134907, 163589, 366342, 360206, 30482, 227090, 306964, 358173, 272158, 83744, 34593, 313124, 337701, 372517, 50992, 81715, 231225, 141115, 104252, 79683, 331600, 184153, 331609, 145245, 135006, 403293, 59233, 102248, 341870, 401265, 135035, 8063, 325505, 85893, 38795, 61323, 49043, 335767, 67484, 382881, 118692, 106413, 53167, 30640, 30641, 194481, 233402, 151504, 415704, 366561, 10213, 96231, 407527}",
363948,"{11264, 31748, 331268, 340486, 94215, 347656, 378381, 20495, 328212, 223257, 240668, 106524, 414238, 320035, 125478, 12839, 130088, 292394, 292906, 220204, 421419, 132654, 91183, 301617, 137787, 292413, 208960, 322116, 202821, 251463, 31816, 405575, 115279, 116816, 181331, 116823, 403544, 106073, 156251, 44125, 172641, 280166, 155751, 94312, 47209, 165992, 42603, 347238, 172657, 37492, 58485, 127607, 145527, 285322, 253070, 5784, 172699, 159395, 327848, 357547, 20652, 253101, 120496, 31922, 199858, 421043, 215735, 238775, 150715, 252093, 108736, 176833, 242370, 355522, 167109, 411335, 122056, 144585, 393928, 22221, 18641, 233683, 237268, 271060, 359124, 85210, 79068, 282338, 257763, 13028, 100069, 412902, 296163, 364258, 98536, 2793, 354025, 152811, 344811, 325869, 59118, 290542, 232689, 344312, 254713, 379129, 107771, 307453, 62723, 377603, 201481, 275721, 362768, 75538, 372498, 163605, 370966, 269595, 292124, 415515, 146208, 402723, 52004, 36136, 399667, 76085, 165686, 200504, 218424, 150332, 30525, 68413, 124733, 418620, 116034, 146245, 343880, 411464, 243019, 73557, 178006, 423255, 125784, 95578, 22877, 217951, 256868, 400740, 400230, 421732, 37224, 156521, 125292, 26478, 191342, 213361, 266609, 140153, 47482, 382842, 118143, 103807, 263040, 361343, 395139, 69509, 189833, 342921, 240525, 48016, 301974, 95230, 352672, 191905, 237473, 268705, 38310, 219559, 228777, 309673, 250795, 212909, 48046, 245679, 278448, 362415, 84916, 6585, 164794, 145340, 389056, 301506, 150983, 333258, 165324, 59853, 383951, 174035, 146900, 3541, 221652, 226260, 185304, 154585, 116702, 222689, 245219, 267757, 147953, 314353, 323573, 127478, 326647, 29179, 132092, 333310}",
49082,"{259072, 371203, 152067, 193547, 311307, 203792, 208403, 37912, 252956, 93215, 174624, 331295, 54306, 269859, 402979, 16421, 68639, 379952, 350258, 281655, 312376, 259641, 258106, 404539, 396860, 140349, 315965, 133703, 260172, 232525, 7759, 68176, 78928, 267857, 384594, 136276, 237652, 87639, 322647, 197721, 229978, 376920, 382041, 396887, 212574, 346213, 98920, 108139, 346732, 264813, 346223, 39548, 157310, 120958, 297088, 125054, 246915, 289412, 320131, 192135, 377995, 396428, 165518, 264846, 306321, 62616, 252063, 140453, 238757, 54439, 143015, 92841, 215209, 215212, 255660, 306350, 2735, 106159, 251578, 168124, 30914, 127170, 57540, 234690, 253130, 381130, 256206, 390864, 281297, 164565, 287959, 239834, 89309, 301287, 410346, 61164, 109805, 188652, 330992, 345328, 330995, 102644, 192759, 335101, 351486, 61702, 121607, 309512, 189193, 385800, 203532, 252687, 39185, 54550, 111384, 272153, 366364, 401692, 22303, 13087, 196386, 133927, 53546, 138543, 119088, 160561, 30002, 82227, 104242, 253238, 110394, 358205, 254273, 47430, 34631, 351559, 378694, 77136, 378710, 14177, 260962, 12131, 274280, 114038, 39287, 138618, 158592, 394625, 260482, 163208, 304521, 106892, 244620, 156558, 379278, 395663, 209298, 368025, 41882, 339354, 395165, 333729, 140706, 130469, 349093, 302504, 307113, 333737, 7597, 411565, 116655, 189359, 372147, 148916, 99253, 378810, 226236, 108990, 302526, 32706, 12227, 174532, 163282, 138712, 275417, 44506, 153051, 288217, 47582, 283619, 31718, 144871, 28137, 52716, 156142, 247280, 196086, 287735, 30200, 390649}",
53363,"{215043, 247812, 192543, 241699, 354340, 53288, 256043, 278576, 151608, 424001, 211018, 237642, 147552, 176228, 67685, 59502, 53363, 90241, 10371, 354435, 170124, 12429, 149646, 63632, 45210, 274592, 282785, 360621, 20655, 186546, 80051, 98493, 18629, 108741, 129238, 288983, 299222, 127209, 237806, 92399, 172274, 47349, 289016, 340229, 174347, 321805, 14613, 12568, 10525, 133411, 381226, 49451, 26927, 194892, 125279, 82283, 39293, 231809, 98693, 170376, 311695, 104850, 80277, 401816, 170407, 338367, 299463, 203217, 100825, 119257, 401881, 246238, 184812, 80372, 242165, 385548, 37397, 27160, 264731, 412190, 229922, 184875, 47662, 330286, 125494, 131650, 579, 580, 410182, 90698, 334413, 217680, 270929, 107090, 277075, 385631, 8831, 4740, 150150, 64135, 96910, 342674, 287387, 82595, 299691, 316087, 197318, 334541, 29394, 322262, 258781, 389863, 162537, 328430, 355054, 152304, 279280, 322299, 19215, 217873, 152341, 256792, 396078, 160565, 365368, 193341, 15170, 273220, 242501, 222027, 355151, 160593, 242514, 78682, 297821, 379741, 109407, 355168, 45922, 267111, 316288, 318339, 207753, 394126, 25487, 344988, 177070, 215983, 297907, 289739, 273359, 60377, 170973, 320482, 107495, 308201, 218090, 297963, 324598, 404473, 31737, 336895, 316416, 113665, 347138, 123910, 422935, 7192, 160793, 402463, 111652, 336939, 367665, 261175, 412727, 410681, 339008, 154696, 195663, 189536, 33899, 199791, 375919, 167032, 144514, 31875, 144518, 162962, 224405, 398491, 136357, 244908, 27821, 318636, 68809, 263381, 351447, 201951, 177377, 369893, 19686, 326888, 175337, 386284, 390380, 183543, 382203, 128253, 120063, 158979, 193813, 208151, 247065, 384281, 210206, 326944, 302370, 265515, 75052, 11568, 380212, 58678, 363831, 267580, 415045, 359759, 306515, 208228, 351590, 177514, 130414, 327022, 30079, 198023, 202119, 310663, 21907, 218515, 284055, 155040, 204198, 355753, 1452, 333234, 28083, 288189, 17857, 26075, 132575, 105954, 7655, 26096, 255476, 110070, 181763, 60952, 108064, 185898, 200243, 282166, 306753, 157251, 93770, 245326, 134737, 61015, 308829, 69215, 396895, 304749, 380530, 159357, 171658, 163481, 362141, 315040, 310946, 106153, 290475, 75437, 13997, 241326, 112318, 184000, 208583, 276168, 18137, 50910, 311015, 343787, 26353, 153345, 38659, 354051, 130823, 96008, 22292, 378660, 114484, 157499, 286527, 212800, 294722, 276292, 251720, 38738, 321363, 403286, 57175, 135004, 268126, 278366, 85857, 171898, 229250, 81801, 214926, 61329, 386967, 386970, 176029, 356258, 223140, 49061, 145318, 20393, 34730, 53171, 38856, 122834, 223192, 280538, 305124, 264175, 221170, 370675}",
417591,"{293377, 201221, 419851, 120849, 47638, 253475, 277035, 28717, 268335, 310326, 224315, 320574, 200256, 95301, 386643, 172117, 226906, 316521, 337002, 339580, 173699, 47243, 214156, 226445, 17045, 252565, 336535, 401565, 187039, 11428, 283321, 302777, 208575, 404673, 86215, 128737, 239843, 285419, 340737, 383240, 285456, 38675, 308502, 322330, 332060, 54560, 282919, 178984, 383279, 390972, 137024, 192845, 398670, 351061, 367957, 311642, 102751, 386919, 307049, 315247, 59764, 255349, 419703, 19332, 76676, 162699, 125334, 385431, 255382, 76188, 302495, 327072, 64929, 105891, 4528, 263609, 176067, 98757, 969, 48075, 269772, 30160, 250832, 149971, 224733, 37347, 148973, 224757, 375293}",
16194,"{43011, 286212, 347652, 264714, 227340, 330767, 89109, 30743, 113178, 259611, 192541, 276516, 364069, 154665, 30251, 326699, 117295, 15408, 95793, 16946, 153651, 176692, 264752, 333363, 44600, 55865, 54842, 209466, 262712, 176190, 202814, 44096, 233536, 357438, 376391, 154700, 164432, 269905, 349266, 119891, 256596, 23645, 76895, 112735, 385119, 27235, 192102, 163946, 213614, 83056, 193649, 358512, 27764, 127092, 179828, 354426, 188026, 407164, 6788, 318093, 230030, 408724, 159382, 27803, 84638, 81567, 280228, 165, 240294, 222893, 16558, 138422, 216249, 311491, 267981, 285393, 236761, 302297, 44764, 3295, 73952, 189154, 38627, 226021, 123112, 250089, 176367, 388336, 225009, 94453, 250613, 298745, 241402, 55547, 122630, 266504, 12046, 5391, 102670, 344847, 154389, 36633, 423706, 157473, 296229, 47910, 80167, 187686, 336166, 123178, 393509, 254776, 152377, 249659, 36668, 405310, 182593, 257346, 206148, 342351, 254801, 80212, 9559, 79704, 50521, 193886, 292193, 8041, 245609, 309099, 69997, 380783, 49523, 47990, 71030, 192887, 312182, 273786, 146813, 81790, 104328, 327048, 418706, 104852, 370069, 280470, 238490, 77211, 343964, 2461, 156575, 230817, 266151, 262064, 18353, 329138, 102835, 369075, 55734, 16314, 259514, 198592, 212938, 66507, 69068, 388043, 303568, 379352, 363995, 81372, 374747, 214494, 320990, 109025, 63970, 228324, 297446, 296427, 84975, 376309, 259577, 15871}",
22036,"{91580, 388766}",
7477,"{245760, 40452, 408581, 184325, 310796, 401941, 145436, 164382, 23586, 32808, 73769, 96811, 37423, 357425, 362033, 72244, 217141, 291892, 147004, 382013, 388162, 4166, 130119, 384588, 187983, 339024, 181845, 345686, 382549, 223320, 417880, 144474, 324699, 405084, 292450, 116332, 109680, 307824, 375929, 17529, 305275, 367228, 70788, 114822, 392839, 212104, 257161, 417927, 182933, 53403, 255148, 305325, 114863, 26289, 285362, 63668, 339638, 311991, 317111, 229564, 89791, 104645, 147653, 160965, 99528, 220872, 90826, 296645, 410309, 6870, 179417, 214236, 9441, 61665, 356577, 401644, 416493, 149745, 393971, 365301, 411896, 424189, 248577, 152838, 237830, 389384, 122637, 390413, 125200, 131347, 256277, 167702, 798, 355102, 162595, 226083, 113470, 247615, 95553, 150851, 270152, 112969, 282953, 307019, 321876, 118615, 42329, 252251, 140125, 24419, 402275, 45414, 105318, 104817, 418681, 10618, 84347, 360316, 405887, 309643, 131981, 56718, 364941, 332688, 262545, 406928, 273300, 207253, 119707, 184221, 242589, 94625, 135076, 294314, 99763, 37302, 244665, 10175, 131519, 318914, 89028, 289734, 379341, 143310, 267222, 400342, 68574, 337890, 396770, 271844, 359918, 8175, 334838, 141816, 241146, 68093}",
322951,"{79876, 249861, 45071, 229904, 248850, 279058, 104469, 366616, 311834, 142876, 390179, 286245, 422949, 12840, 124971, 403502, 86063, 97328, 39986, 108595, 249395, 261172, 364086, 366131, 371767, 385075, 130622, 170559, 292414, 422978, 354376, 71241, 241229, 275533, 4687, 61008, 377933, 100949, 191575, 8284, 230492, 378972, 8287, 361061, 144998, 71271, 124519, 147559, 302698, 209519, 369776, 389231, 255090, 140916, 238201, 77945, 209018, 192124, 212605, 12926, 41091, 168067, 263812, 88200, 201866, 117899, 177804, 409741, 354958, 239759, 46225, 323730, 297622, 162455, 418461, 246943, 359585, 5796, 167589, 324773, 326820, 341668, 12969, 8874, 411817, 420005, 2733, 169647, 315057, 267961, 396985, 329403, 349371, 234173, 350907, 316607, 252609, 388290, 27846, 321222, 184520, 113865, 107213, 405199, 153808, 302289, 411349, 203478, 336087, 62177, 70369, 343265, 274148, 36581, 59621, 411366, 388841, 132331, 111340, 188144, 144627, 357620, 394484, 363254, 278263, 47353, 181501, 218879, 182016, 164100, 388875, 22798, 124175, 294158, 211217, 371984, 315159, 53016, 352537, 212762, 190748, 47389, 179998, 188191, 238365, 333086, 246050, 392993, 414502, 387879, 207147, 423724, 110894, 283442, 130363, 16188, 275259, 362301, 160063, 172868, 259908, 96070, 284491, 171857, 378194, 269655, 119648, 149858, 6503, 208745, 103786, 142699, 140145, 70514, 238452, 406388, 370551, 274297, 385915, 274300, 330620, 67966, 117631, 24959, 385408, 255874, 69507, 236932, 354180, 348038, 322951, 120716, 329100, 193426, 376723, 210426, 82839, 104346, 401821, 39327, 97699, 96165, 100774, 1448, 254889, 407466, 103851, 229804, 29103, 357807, 408495, 194997, 317367, 86968, 292285, 156606, 180670, 314816, 137152, 96705, 186303, 210368, 13252, 422342, 207812, 255423, 257476, 281028, 309186, 411080, 299979, 277964, 134093, 91086, 158158, 118227, 202708, 372691, 237533, 410590, 353247, 256999, 208361, 244717, 244206, 173552, 268273, 207348, 265717, 356340, 318458, 293885}",
55779,"{191309, 207773, 129342}",
