ID,Ball1,Ball2
242741,{310823},
309761,{30138},
88052,"{395136, 241411, 390409, 282763, 246288, 138005, 119711, 196129, 326177, 120318, 171688, 23593, 34732, 127276, 95278, 145458, 18489, 417085, 203197, 202818, 339532, 199634, 20569, 345438, 322413, 105456, 324724, 35701, 169463, 394874, 185083, 3838}",
161011,"{215043, 247812, 135185, 145430, 192543, 241699, 354340, 53288, 256043, 278576, 151608, 424001, 211018, 237642, 196698, 147552, 176228, 67685, 192613, 59502, 10351, 53363, 90241, 10371, 354435, 170124, 12429, 149646, 63632, 45210, 274592, 360621, 20655, 186546, 80051, 98493, 18629, 108741, 129238, 288983, 299222, 127209, 411881, 237806, 92399, 172274, 47349, 289016, 174347, 321805, 14613, 12568, 10525, 133411, 49451, 194892, 125279, 82283, 39293, 231809, 98693, 170376, 311695, 104850, 80277, 401816, 18842, 170407, 334252, 285113, 338367, 299463, 203217, 100825, 119257, 401881, 246238, 184812, 80372, 242165, 385548, 37397, 27160, 203289, 264731, 412190, 229922, 51755, 184875, 47662, 330286, 125494, 131650, 579, 580, 395844, 410182, 90698, 334413, 217680, 270929, 107090, 277075, 385631, 307818, 8831, 4740, 150150, 64135, 164492, 96910, 342674, 246419, 287387, 82595, 344740, 299691, 316087, 197318, 334541, 29394, 322262, 258781, 389863, 162537, 328430, 355054, 152304, 279280, 322299, 19215, 217873, 152341, 256792, 396078, 160565, 56118, 365368, 267065, 193341, 275264, 15170, 242501, 222027, 355151, 160593, 242514, 78682, 297821, 379741, 109407, 355168, 45922, 267111, 316288, 318339, 207753, 394126, 25487, 344988, 177070, 215983, 297907, 289739, 273359, 60377, 170973, 320482, 107495, 308201, 218090, 297963, 324598, 404473, 31737, 336895, 316416, 113665, 347138, 189443, 123910, 422935, 7192, 160793, 111652, 336939, 367665, 261175, 412727, 410681, 339008, 154696, 195663, 189536, 308323, 33899, 199791, 375919, 167032, 144514, 31875, 144518, 162962, 224405, 398491, 136357, 244908, 27821, 318636, 384182, 68809, 263381, 351447, 201951, 177377, 369893, 19686, 326888, 175337, 390380, 386284, 218352, 183543, 382203, 128253, 158979, 193813, 208151, 247065, 384281, 210206, 326944, 302370, 296234, 265515, 75052, 11568, 380212, 58678, 363831, 267580, 415045, 359759, 306515, 208228, 226662, 351590, 177514, 130414, 327022, 30079, 198023, 202119, 21907, 218515, 284055, 155040, 204198, 355753, 1452, 333234, 28083, 288189, 17857, 26075, 132575, 198112, 105954, 7655, 290281, 26096, 255476, 110070, 181763, 60952, 108064, 26154, 185898, 200243, 282166, 306753, 157251, 93770, 245326, 284240, 134737, 61015, 308829, 69215, 396895, 304749, 380530, 159357, 171658, 163481, 362141, 315040, 310946, 106153, 290475, 75437, 13997, 241326, 112318, 184000, 116419, 208583, 276168, 18137, 50910, 311015, 343787, 265968, 26353, 153345, 38659, 354051, 163589, 130823, 96008, 22292, 378660, 50992, 114484, 141115, 157499, 286527, 212800, 294722, 276292, 251720, 38738, 321363, 57175, 135004, 268126, 278366, 85857, 401265, 171898, 229250, 81801, 214926, 61329, 386967, 386970, 176029, 356258, 223140, 49061, 145318, 20393, 34730, 53171, 233402, 38856, 151504, 122834, 223192, 280538, 305124, 407527, 264175, 221170, 370675}",
334503,{334503},
30096,{187016},
217347,{89007},
83980,{26738},
395697,"{78845, 272573}",
272984,{359761},
